stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,43.46,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,105.79,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.71,0,0,0,0,0,45.67,0,17.54,3.28,0,0
 10-12,4.57,0,14.25,0,0,0,0,0,68.67,3.99,0,0,0,0
 14-21,0,0,0.85,0,0,1.28,0,0,2.25,0,0,0,0.92,0.86
 24-34,0,0.64,1.93,0,0,0,0,1.12,1.01,0,0,0.61,0,0
 36-46,0,0,0.96,0,1.26,0,0,0,3.21,0,0,0,0,0
 48-58,0,0,0.42,0,0,0,0,0,8.59,0,0,0.49,0,1.53
 60-70,0,0,2.12,0,0,0,0,0,23.73,0,0,0,0,0
 72-82,0,0,0,0,1.45,0,1.22,0,43.4,0,0,0,0,0
 84-94,0,0,1.91,0.67,0,0,1.98,0,13.72,0,0,0,0,0
 96-106,0,0,0.58,0,0,0,0,0,5.32,0,0,0,0,0
108-118,0,0,2.92,0,1.57,0,0,0,18.96,0,0,0,0,0
120,0,0,13.64,0,0,0,0,0,30.36,0,0,0,0,0
