stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,43.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.61,67.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.23,0,0,0,0,0,15.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.53,3.38,0,0,41.42,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.48,0,0,0,56.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.15,0,0,0,91.5,0,0,5.62,0,12.56,0,0,0,0,0
 14-21,0,0,0,1.92,2.97,8.53,0,8.96,0,0,5.23,0,0.81,0,0,0,0,0,2.79,0,0,6.5,156.8,0,0,0.97,0,0,3.82,0,4.83,0,6.75,37.42,0,0,2.77
 24-34,0,0,0,0,4.98,1.98,0,46.66,0,0,6.36,0,0,0,0,1.64,0,0,16.13,1.03,0,6.73,187.7,0,1.44,1.9,0,0,7.33,0,0,0,0.63,31.65,0,0,3.49
 36-46,0,0,0,0,5.33,0,0,33.49,1.12,0,1.64,0,0,0,0,0,0.57,0,4.76,0,0.55,1.06,69.41,0,2.99,0,0,1.69,3.7,0,0,0,0,17.26,0,0,9.42
 48-58,0,0,0,0,2.11,0.94,0,40.44,0,1.16,3.6,0,0,0,0,0,0.51,0,11.39,0,2.59,0.38,45.93,0,0,0,0,0,2.11,0,0,0,0,9.77,0,0.42,0.43
 60-70,0,0,0,0,7.24,0,0,23.48,0,0,0,0,0.78,0,0,0,0.67,2.82,14.54,0,0,1.28,31.2,0,4.17,2.15,0,0,3.42,0,0,0,0,3.24,0,0,3.07
 72-82,0,0,1.44,0,0.5,1.34,0.61,15.68,0,0,4.32,2.16,0.55,0.93,0,0,0,0,8.9,0,0,0.77,33.46,0,2.23,0,0,1.12,4.74,0,0,0,0,4.83,0,1.32,3.5
 84-94,0,0,0,0,6.58,1.51,0,4.04,0,0,1.34,1.14,0,0.65,2.06,0,0,0,5.78,2.26,0,0,14.35,0,1.8,0.83,0,0,4.29,0,0,0,0,1.98,0.83,0,2.35
 96-106,0,0,0,0,3.94,0.64,4.21,3.04,1.66,0,4.69,0.84,0,2.14,2.74,0,2.11,1.68,5.06,0,0.59,2.23,21.06,0,2.15,1.77,0,0,5.85,0,0,0,0,0,0,0,7
108-118,0,0,0,0,4.59,8.78,2.13,16.82,0,0.94,13.81,5.4,0,1.29,0,0,0.69,4.06,9.36,1.89,0,1.69,33.87,1.51,1.25,4.04,0,0,5.04,0,0,0,0,6.25,0.99,1.37,4.64
120,0,0,3.73,0,32.3,13.53,0,17.78,0,0,6.92,4.7,0,0,1.77,2.88,0,0,14.72,1.59,0,0,66.89,0,0,5.44,0,0,12.21,0,0,0,0,0,0,0,1.07
