stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,119.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,319.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,7.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.15,21.81,19.87,0,0,0,64.19,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,627.83,14.87,0,0,171.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.87,13.35,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667.41,15.13,0,0,128.45,0,0,0,16.79,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,26.04,2.38,0,2.11,0,0,0,0.83,0.87,0,0,0,0,0,0,0,0,9.22,0,0,4.85,64.85,1.85,0,0,0.84,0,2.66,6.2,0,0,4.34,19.27,0,0,0.82,0,0
 24-34,0,0,1.48,19.6,0,0,11.7,0,0,1.6,4.23,0,0,0,0.96,0.73,0,1.2,0,0.97,25.98,0,0,15.92,148.04,3.07,1.25,1.6,0,0,9.27,0,0,0,0.75,43.08,0,0,7.88,0,1.58
 36-46,0,0,0,3.96,0,0,15.53,0,0,0,0.97,0,0,0.69,0.67,0,5.08,0,0,3.14,22.33,0,0,7.14,267.68,2.73,3.74,2.58,0,0,5.76,0,0,0,0,81.14,0,0.85,0,0,0
 48-58,0,0,0,26.01,0,0,42.28,1.08,1,3.45,15.07,1.26,0,0.69,0,0,2.21,0.41,0.39,0,35.64,1.32,1.11,3.28,218.76,0,1.38,1.14,0,0,0.42,0,0.43,0,0,59.49,0,0,5.98,0,2.79
 60-70,0,0,0,6.81,0,0,147.69,0,2.12,5.11,16.71,0,0,0,0,0,0,0.77,0,0,52.21,0,0,1.55,372.03,3.71,1.12,1.01,0,0.71,15.11,0,2.82,0,0,62.81,0,0.99,5.44,0,7
 72-82,0,0,0,11.24,0.78,0,194.72,0,0,1.46,22.42,0,0,0,3.72,0,0,1.81,0,1.31,47.26,0,0.56,2.32,403.66,0,1.79,2.51,0,0,1.55,0,0.73,0.51,0,66.06,1.16,0,16.97,0.59,8.82
 84-94,0,0,0,8.04,2.16,0,196.78,0,0.75,8.45,19.73,0,1.23,2.81,0,0.58,1.74,1.11,0,0.98,55.44,1.19,0,2.25,373.12,0.62,1.93,1.57,0,0,2.26,0,0,0,0,43.68,0,0.63,5.62,5.69,0
 96-106,0,0,0,10.32,0,0,137.09,0,3.57,3.85,29.12,1,0,0.88,2.26,0,0.95,5.82,1.8,8.24,46.93,0.74,1.09,1.03,320.69,0.81,3.69,2.52,0,0,17.77,0,0,0,0,14.35,4.84,2.5,7.09,1.95,13.96
108-118,0,0,0,14.71,0,1.21,174.56,0,4.58,3.22,25.32,0.43,0,1.04,1.07,1.11,0.83,0,0,0.51,40.45,0,0,3.27,415.96,0,5.76,0,0,4.36,1.58,0,0,0,0,15.99,1.59,1.58,9.93,5.14,0.5
120,0,0,0,48.94,7.22,0,191.97,0,10.54,0,49.45,0,0,0,0,0,8.18,0,3.71,0,58.23,1.05,3.51,7.32,644.72,1.28,15.75,1.02,0,9.36,2.5,0,0,0,0,26.1,0,0,28.1,12.01,0
