stage,blastomeres,endoderm,eye,glial,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,114.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,14.49,0,0,0,0,0,34.62,15.73,0,0,0,0
 10-12,0,9.19,7.09,0,0,0,0,0,67.91,14.87,0,8.5,0,0
 14-21,0,0,0,0,0,0,0,1.01,6.21,0,1.99,0,17.42,0
 24-34,0,0,3.49,0,1.8,0,0,0,20.73,0,0,0,4.01,0
 36-46,0,0,4.39,0.8,0.73,0,0,0,14.34,0,0,0,2.01,0
 48-58,0,0,10.8,5.18,0.53,0,0,0,10.85,0,0,0,0,0
 60-70,0,0,11.53,0,1.47,0,0,0,11.28,0,0,0,0,0
 72-82,0,0,9.15,0,1.55,0.62,0,0,4.69,0,0,0,0,0
 84-94,0,0,0,0.57,1.64,0,0,0,0.58,0,0,0,0,0
 96-106,0,0,0.63,0.57,6.51,0,0.78,0,1.39,0,0,0,0,0
108-118,0,0,0,1.76,3.41,0,0,0,5.23,0,0,0,0,2.1
120,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0
