stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,50.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,40.64,0,0,3.38,0,0,0,0
 14-21,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,1.56,0.91
 24-34,0,0,0.74,0,0,0,0,0,0,0,0,0,12.14,0,6.9,0,1.08,0,0,1.17
 36-46,0,0,0,0,0,1.31,0,1.01,0,0,0,0,21.4,0,0,0,0,0,0,1.46
 48-58,0,0.5,0,3.41,0,0,0,0,0,0,0,1.1,6.53,0,6.28,0,0,0,0,1.64
 60-70,0,0,2.44,0,7.51,2.3,0,0,2.03,2.07,0,17.89,12.05,0,0,0,0.57,0.93,0,1.41
 72-82,0,0,8.56,2.02,0,1.15,0,0,0.79,3.92,0,1.25,0,0,4.48,0,0,0,0,0
 84-94,0,0,2.09,1.22,0,0,0.67,0,0.98,9.32,2.32,2.19,2.32,0,11.48,0,0,0,0,0
 96-106,0,0.7,0,9.78,0,0.56,0,0,4.25,0.62,0,2.59,6.91,0.87,7.53,0,0,0,0,0
108-118,0,0.59,0,0.52,0,6.27,1.64,0,2.8,4.54,0,0.84,6.76,0,12.29,0,0,0,0,0
120,0,0,0,0,0,2.35,0,0,2.31,17.61,0,0,10.7,0,9.06,0,0,0,0,0
