stage,axial,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.42,0,0,0,8.58,0,5.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.81,3.88,0,0,11.72,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,1.2,0,0.9,6.81,0,2.17,0,0
 24-34,0,0.6,0,0.9,2.62,0,0,0,0,0,0,0,0,5.4,0,0,1.34,40.81,0,1.36,0.64,0,0,0.71,0,0,0,0,21.27,0,5.03,0,0
 36-46,0,0,0,0,2.85,1.42,0,2.27,0.67,0,0,0,0,3.22,0,1.65,0,25.34,0,0,0,0,0,10.64,0,0,0,0,9.04,0,5.71,0,0
 48-58,0,0,0,0,8.79,0,0,15.61,0,0.82,0,0,0.66,4.96,0.65,0,0,26.78,0,0,0.41,0,0,0.4,0,0,0,0,10.94,0,0.83,0,0
 60-70,0,0,0,0,6.56,0,0,1.21,0,0,0,0,0,2.18,0,0.71,0,34.8,0,0,1.33,0,0,0,0,0,0.71,0,0,0,19.85,0,0
 72-82,0,0,0,0,7.42,0,0,7.07,0,2.12,0,0,0,8.92,0,0,0,11.72,0,2.09,0.58,0,0,4.39,0,0,0,0,0.63,0.53,16.34,0,0
 84-94,0,0,0,0,0.69,0,1.13,9.42,0.64,0,1.16,0,0,5.82,0,3.36,0,6.24,0,0,0.88,0,0,3.19,0,0,0,0,12.62,0,3.96,0,10.49
 96-106,0,0,2.29,0,23.53,0,0,10.49,0.93,0,0.66,0,0,5.54,0,0,1.05,19.42,0,1.53,0,0,0.99,6.94,3.39,0,0,0,0.95,0,0,1.53,0.63
108-118,0,0,2.4,0,15.13,0.65,0,5.66,1.02,0,0,1.69,0,16.24,0,0,0,31.65,0,0,0.42,0,0,10.26,0,0,0,0,1.03,0,4.79,0,0
120,0,0,0,0,8.57,0,0,25.77,1.31,0,4.84,0,5.02,16.06,0,0,8.48,18.78,0,0,0,0,0,10.23,0,0,0,0,9.07,0,15.9,0,0
