stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,434.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,7.75,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.87,19.39,0,4.46,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.81,0,0,0,22.67,0,0,10.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.37,0,15.94,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.31,4.81,0,0,61.09,0,0,0,0,6.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,12.37,8.48,0,6.52,0,0,0,1.08,0,0,0,0.84,0,0,0,2.7,5.43,0,0,2.02,61.92,2.43,1.44,0,0.99,0,5.9,0,3.91,0,0,12.07,17.06,0,0,1.01,0,0.97
 24-34,0,0,0,0,7.5,0.76,0,24.59,0,10.14,0,7.44,0,3.26,0.67,0.74,1.57,0,0,0,29.24,0,0,6.35,342.36,3.05,6,2.71,0,0.99,16.85,0,0,4.63,0,2.83,91.27,0,0,12.61,0,2.11
 36-46,0,0,0,0,1.8,0,0,83.55,0,5.95,0.62,24.95,0,2.33,1.54,3.05,8.01,0,0,5.75,30.3,7.68,0,6.12,466.69,1.89,2.18,4.59,0,0,29.03,0,0,0,0,0,94.44,0,0,8.95,0,0
 48-58,0,0,0,0,3.64,0,0,203.26,4.33,13.62,2.02,56.81,0.69,0.55,5.81,0.43,4.49,0.48,0,8.03,40.88,0,1.16,11.02,641.04,0.89,0,2.41,0,0,20.78,0,0,0,0,0,102.96,0,0,6.48,0,12.67
 60-70,0,0,0,0,9.22,3.48,0,348.49,0,15.21,0,56.78,0,1.55,5.63,1.1,6.24,0,1.2,6.77,47.8,1.83,0,5.78,739.42,1.31,4.22,11.98,0,0.66,15.8,0,0,0,0,0,80.17,0,7.6,5.23,0,6.1
 72-82,0,0,1.96,0,0.54,11.32,1.22,295.46,0,1.63,2.99,71.36,0.56,1.41,5.02,0,3.24,0.72,1.65,1.22,62.47,0,1.61,4.36,659.97,0.52,2.38,6.3,0,3.99,16.93,0,0,1.58,0.53,0,37.13,1.92,0,23.57,3.22,8.31
 84-94,0,0,1.15,0,31.93,6.35,0,299.42,0.56,0.86,2.08,56.77,7.31,0,9.34,0.91,2.22,0.64,2.62,10.57,78.1,0,4.79,6.81,467.43,0,5.18,9.56,0,0,34.67,0,0,0,0,0,37.03,3.15,1.11,11.87,11.48,0.69
 96-106,0,0,0,0,10.35,14.36,0,179.1,0,0.58,1.23,37,6.32,1.91,11.74,0.71,0.75,2.8,0,6.34,53.46,0,1.32,1.4,413.81,0,3.81,11.09,0,7.56,38.48,0,0,0,0,0,17.27,0.61,0.72,13.95,5.54,0
108-118,0,0,0.57,0,8.87,5.84,15.44,180.26,0,1.26,0,48.49,12.2,0.8,6.56,3.39,3.45,2.99,2.66,2.89,54.67,0.52,4.24,7.67,389.35,0,0,5.71,0,5.34,24.87,0,0,0.51,0,0,27.44,0.88,4.53,22.08,6.34,1.68
120,0,0,0,0,28.56,4.04,0,219.33,5.69,0,6.24,55.2,31.96,0,22.81,0,5.79,1.54,0,7.7,76.52,0,0,11.46,571.31,1.48,0,50.99,0,0,21.83,0,0,5.04,0,0,7.15,0,0,21.88,0,0
