stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,89.69,799.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.55,0,0,0,0,0
  5-6,27.45,438.58,0,0,0,0,0,24.14,0,0,0,0,21.67,0,0,17.56,19.86,0,0,0,0,0
  7-9,0,5.63,33.91,0,0,60.56,0,29.11,0,0,0,0,402.48,20.51,0,129.73,0,8.56,0,0,0,0
 10-12,0,6.05,0,0,0,16.28,0,4.88,0,0,0,0,339.07,0,0,112.54,3.1,3.78,0,11.22,0,0
 14-21,0,0,1.27,1.73,3.43,3.33,1.17,0,0,0,1.88,0.93,45.06,3.49,0,0,0,0,6.22,0,1.77,4.78
 24-34,0,0,0,4,0,10.72,3.78,0,2.08,0,1.47,3.65,89.97,0,0,0,0.84,0,0,0,0,15.95
 36-46,0,0,0,5.82,0,21.08,0.58,0,0,0,4.77,1.66,51.82,1.19,0,0,1.38,0,1.78,0,0,17.5
 48-58,0,0,0,0.61,0,16.97,0.4,0,0,0,3.37,0,36.18,0,0.44,0,0,0,0,0,0,0.56
 60-70,0,0,0,3.45,0,12.17,0,0,0,0,2.08,0,20.02,0,1.82,0,0,0,0,0,0,0.67
 72-82,0,0,0,0.52,0,1.79,0,0,0,0.72,1.95,0,9.06,1.94,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.71,0,7.14,0,0,0,0,3.1,0.57,0,0,0,0,0,0,0,1.35,0,0
 96-106,0,0,0,0,0,1.62,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.23,0,2.91,1.02,0,0,0,1.35,0.49,13.49,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,8.63,0,0,0,0,0,0,5.05,0,0,0,0,0,0,0,0,0
