stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.07,1.01,98.88,2.63,0,0.99,0,2.33,0,7.21,1.19,0.96,0,0.81,0,0,0,0,20.3,0.83,0,18.38,188.07,34.95,5.99,3.02,4.35,0,13.38,0.91,10.07,0.89,115.64,30.51,42.61,0,0,0,0,0
 24-34,0,0,116.04,2.73,0,8.28,0,10.5,8.25,2.47,0,0,0,0.6,0,3.99,0,0,82.48,0.9,0,86.64,281.87,22.38,6.15,19.96,0,0,37.66,0,0,2.42,56.08,7.57,52.64,0,0,3.9,0,0
 36-46,0,0,41.27,0,0,10.41,7.52,12.41,13.48,6.46,0,0,0,0,12.97,2.59,0,0,137.98,0,3.16,64.03,275.75,24.3,0,13.32,0,0,20.02,0,0,1.31,51,0.66,17.3,0,0,0,0,0
 48-58,0,0,32.07,0,0,26.36,4.43,4.96,8.38,6.08,0,0,3.81,0,0,8.18,0,0.4,127.73,2.35,6.49,37,244.19,7.2,0,1.96,4.77,0,18.53,0,0,0,54.12,0,19.55,0,0.85,0.96,0.9,0
 60-70,0,0,52.15,0,0,34.66,16.53,3.2,17.36,17.56,0,0,0,0,2.09,1.96,0,0,147.88,0,15.41,39.41,249.74,3.4,0,4.19,0,5.89,2.98,0,0,0,40.83,0,10.49,0,4.89,0,2.93,0
 72-82,1.15,0,13.77,3.13,0,35.01,12.98,5.1,15.15,26.79,0,0.55,1.17,0,3.88,5.78,0,0,103.27,0.56,15.56,13.31,228.25,6.31,0.71,17.12,0,3.77,7.74,0,0,0,6.49,0,14.55,0,10.75,0.71,16.42,0
 84-94,0.8,0,37.78,3.81,0,32.76,4.91,10.18,18.27,27.1,0,3.07,0,0,2.61,5.13,0,3.07,147.2,0.91,26.73,26.52,170.72,8.42,0,31.85,0,7.03,20.38,0,0,0,17.94,0,3.85,2.36,8.81,3.57,30.63,0
 96-106,2.13,0,16.45,5.1,1.05,45.61,16.07,3.58,9.56,49.44,1.38,0,0.78,0,0,8.97,0,1.36,90.37,0,24.79,20.68,201.23,0,0,28.73,0,7.01,13.93,2.06,0,0,23.22,0,0,0,16.81,2.37,32.48,0
108-118,0.64,0.74,38.9,0,0.45,30.85,4.65,5.18,8.76,51.51,1.03,1.81,0,0.42,3.76,1.2,1.1,6.35,63.26,4.6,16.12,16.09,206.21,3.68,0,32.65,0,9.04,5.19,0,0,0,21.03,0,0,1.35,15.32,6.37,16.88,0.65
120,0,0,5.1,0,0,56.98,0,1.08,0,111.92,1.88,0,3.73,0,0,0,19.61,0,83.7,0,30.69,16.13,371.62,1.29,0,21.17,0,23.86,8.31,0,0,0,8.16,0,0,0,3.14,3.45,27.42,0
