stage,blastomeres,endoderm,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,111.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.64,0,0,0,0,0,14.06,0,0,0,0,34.58,0,0,0,12.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.27,0,0,0,0,0,0,0,0,0,9.28,0,0,22.02,0,0,6.56,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.93,0,0,1.77,0,1.12,9.51,0,0,0,2.89,0,1.66,2.02,1.28,0,5.84,0,0,0
 24-34,0,0,0,0.66,0.7,0,0,0,0,0,0,0,11.3,0,0,2.42,0,0,6.35,0,0,1.17,1.97,0,0,0
 36-46,0,0,0,3.35,0,0,0,0,0,0.58,0,0,13.15,0,0,0,0,0,0.6,0,0,0,3.52,0,0,0
 48-58,0,0,0,3.73,0,0,0.46,0,0,1.86,0,0,2.44,0,0,0,0,0,0.4,0.56,0,0,0,0,0,0
 60-70,0,0,0,7.59,0,0,1.05,0,0,4.24,0,1.46,0.74,0,0,0,0,0,0,0,0,0,0,0,0,1.34
 72-82,0,0,3.17,8.32,0,0,0,0,0.51,4.03,0.9,0,1.2,0,0.74,0,0,0,0,0,0,0,0,0,0,5.12
 84-94,0,0,0,2.81,0,0,0,0,2.9,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,2.12,2.78,1.06
 96-106,0,0,0,6.76,0,0,1.19,0,0,0.61,6.05,0,10.07,0,1.57,0,0,0,0,0,0,0,0,2.75,0,2.47
108-118,0,0,0,19.64,0,3.26,2.19,0,0.41,1.44,2.51,3.65,3.6,0,0,0,0,3.07,0.52,0,0,0,0,0,1.71,0
120,0,0,0,0,0,0,0,0,0,0,0,0,11.25,0,0,0,0,4.59,0,0,0,0,0,2.71,0,0
