stage,epidermis,eye,fast.muscle,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,5.01,0,0,0,0,0
 10-12,0,0,0,4.77,0,0,10.93,0,0,0,0,0,0,0
 14-21,1.09,0,0,0,0,0,0,0,0,0,7.56,1.71,0,0
 24-34,0.66,0,0,0,4.64,0,2.38,1.42,0,0.95,0,0.68,2.76,0
 36-46,0,0,0,0,0,0.6,3.79,0,0,0,0,0,4.85,0
 48-58,0,0,0,0,1.02,0,0,1.54,0,0,0,0,1.23,0
 60-70,0,0.83,0,0,0.72,0,0,0.68,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.52,0,0,0,0,4.07,0
 84-94,0,0,0,0,0,0,2.38,7.58,0,0,0,0,0,1.26
 96-106,0,0,0,0,4.02,0,1.38,0,0,0,0,0,0,0
108-118,0,0,0.45,0,8.45,4.07,0,0,0,0,0,0,0,0
120,1.15,0,0,0,11.94,0,0,0,0,0,0,0,0,0
