stage,blastomeres,epidermis,eye,glial,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,periderm,spinal_cord
  5-6,11.97,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.96,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.65,0,0
 14-21,0,0,0,0,0,0.84,0,0,2.04,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.9,0
 36-46,0,0,0,0,0,0,6.3,0,0,0,0,0
 60-70,0,0,0,0,0.72,0,0,0,0,0,0,0
 72-82,0,0,0,0.96,0.5,0,0,0.81,0,5.21,0,0
 84-94,0,0,2.52,0,0,0.75,0,0,0,0.89,0.84,0
 96-106,0,0,5.76,0,0,0,0,1.01,0,0,1.48,2.5
108-118,0,0.65,0,3.15,0.59,0,0,0,0,1.08,0,0
120,0,0,0,3.49,0,0,0,0,0,0,0,0
