stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,visceral_smooth_muscle
  3-4,14.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0
 10-12,0,0,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,8.12,0,0,0,2.74,0.77,1.16,0.84,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0.56,3.27,0.63,12.71,0,1.12,0
 48-58,0,0.4,0,0,0,0,0,0,0,0,6.3,1.08,0,0,2.74,0.86,5.47,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,25.28,0,0,0,6.31,0,20.4,0,0,0
 72-82,0,0,0,0,0,0,2.09,0,0,0,44.01,0.82,0,0,3.84,0,1.67,1.16,0,3.22
 84-94,0,0,0,2.18,0,0,0,0,0.56,0,67.32,0,1.89,0,0,0,4.61,0,0,0
 96-106,0,0,0,0,5.1,0.97,5.61,0,0,0,104.7,0,0,0,8.78,0,2.2,0,0,0
108-118,0,0,0,3.21,0,0,5.81,0,0,0.78,134.46,2.76,0,0,7.14,0,8.28,0,0,0
120,0,0,0,0,0,0,0,1.68,0,0,70.79,4.76,0,0,8.43,0,8.27,3.27,0,0
