stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,453.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.65,0,0,0,0,0,0,0,0
  5-6,28.23,264.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,13.88,0,0,0,0,0,0,0,0
  7-9,6.76,14.09,0,0,0,4.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.59,3.59,0,0,26.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,20.35,0,0,10.67,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,128.64,0,0,0,53.58,0,4.33,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.32,0.92,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,4.15,0,0,1.5,11.54,0,0,0,0,0,0,5.77,0,0,6.82,12.99,0,0,0
 24-34,0,0,0,2.95,0,6.13,0,2.22,0,0,0,0,0.69,1.26,0,0,0,0,0.78,11.45,0,0,4.33,51.33,0,1.41,0,0,0,3.03,0,0,0,2.52,6.84,0,6.69,0
 36-46,0,0,0,12.42,0,8.89,0,0.56,0,11.53,0,0,0,0,0,0,0,0,1.81,13.62,0,0,6.99,43.19,0,0,0.58,0,0,0,0,0.81,0,0,12.94,0,2.07,0
 48-58,0,0,0,0,0,11.41,0.68,7.26,0,3.84,2.42,0,0.88,0,0.46,0,0,0,0,25.21,1.24,0.87,2.07,15.22,0,0,0,0,0,0,0,0,0,0,6.01,0,0.99,1.64
 60-70,0,0,0,5.26,0,4.53,0,10.7,0.68,12.63,1.87,0,0.69,5.03,2.48,0,0.63,0,0,24.31,0,0,3.68,6.54,0,0,0,0,0,0,0,0,2.31,0,3.8,0,4.35,10.05
 72-82,0,0,0,3.29,6.61,1.73,1.43,0,1.12,14.58,0,0,0.51,0,0,0,0,4.26,0,23.17,0,0.55,1.25,7.94,0,0.5,0,0,0,0,0,0,0,0,1.47,0.94,0.6,7.57
 84-94,0,0,0,3.59,14.03,2.93,0,0,0.7,8.92,0,0,2.1,0.74,0,1.9,0.89,0,0,36.44,0,2.72,0,3.64,0,0,0,0,0,2.72,0,0,0,0,0,0,5.78,2.11
 96-106,0,0,0,1.63,0,6.57,0.79,2.05,0,24.47,1.5,0,0,0,0.8,0,1.98,0,0,16.71,0,0,1.6,2.98,0,0.69,0.57,0,1.32,0,0,0,0,0,0,0,2.35,0
108-118,0,0,0,2.28,3.76,8.51,0.65,1.46,0,11.26,0,0,0,0,0,4.56,1.56,0,0,22.55,0.51,0,1.45,12.13,0.81,0.77,0,0,1.14,0,0,0,0,0,0,0,4.8,4.35
120,0,0,0,8.06,0,1.91,0,0,0,16.09,0,0,4.26,0,0,0,0,0,0,14.89,0,6.62,3.15,9.16,0,0,2.92,0,0,1.88,0,0,0,0,0,0,9.91,7.88
