stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.11,2.19,0,0,0.96,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,8.09,0,1.2,0,1.42,0.9,1.24,4.11,0,0.92,0
 24-34,0,0.73,0,0,2.35,0,0,1.31,0,0,0,0,0,0,0,2.04,0,0,0.68,35.43,0,0,0,0,0,0,8.83,0,0.81,0
 36-46,0,0,1.22,0,4.09,0,0,1.16,0,0,0,0,0,0,0,0,0,1.14,0.61,34.67,0.79,0,4.7,0,0,0,11.52,0,0,3.79
 48-58,0,0.37,0,0,12.56,0,0,2.06,0.43,0,0,0,0,0,0,2.27,0,0,0.65,37.06,0,0,0.46,0,0,0,1.58,0,0,0
 60-70,0,0,0,0,20.8,1.08,0.87,3.02,0,0,0,3.38,1.52,0,1.14,5,0,0,0.77,51.78,0,9.91,2.32,0,0,0,1.56,1.31,0,0
 72-82,0,1.49,0,0,20.4,0,0,1.59,4.83,0,0,0,0,0,0,4.54,0,0,1.27,14.7,0,5.59,5.62,0,0,0,1.07,0,1.49,0
 84-94,0,2.5,0,0,9.66,0,0,4.2,0,0.65,1.51,0,0,0,0,3.41,0.57,0,0,3.19,0,0,14.85,0,0,0,0.82,0,0,0
 96-106,0,4.98,0,0,18.09,0,0,10.85,0,0,1.73,0,0,0,0,6.85,0,0,8.1,28.75,0,0.78,8.54,0,0,0,0,0,1.02,0
108-118,0,1.92,0,1.08,14.23,0,0,5.13,1.18,0,0,0,0,0.5,0,12.46,0,1.79,0.67,12.79,0,0,6.49,0,0,0,1.3,0,3.36,0
120,0,1.31,0,0,7.21,0,0,19.53,0,0,0,0,0,0,0,18.02,0,13.09,1.93,8.34,10.58,0,0,0,0,0,0,0,0,0
