stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0
  5-6,6.33,18.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.37,0,0,0,240.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,85.87,0,0,0,0,0,23.67,0,5.02,36.49,0,0,0
 24-34,0,0,1.47,0,0,0,0,1.32,0,0,1.77,0,0,0,0,0.98,0,0,0.67,0,5.08,0,0,0.86,504.95,1.63,17.13,0,0,2.05,0,0,0,199.89,0,5.09,0
 36-46,0,0,0,0,0,0,0,44.93,0,0,3.22,0,0,0,0,0,0,0,0.56,0,4.93,0,0,0,1205.58,0,15.4,0,0,1.1,0,0,0,356.38,0,0,0
 48-58,0,0,0.68,0,6.96,0,0,187.5,0,0,11.2,0,0,0.51,0,0,0,0.97,0.99,7.36,19.13,0,0,3.1,1645.94,0,9.6,0,0,10.44,0,0,0,315.49,0,5.66,16.15
 60-70,0,0,0.89,0,1.63,0,0,274.24,1.46,0,12.36,1.35,5.9,0,2.62,0,1.62,0.73,2.11,0,11.87,0,2.83,1.08,2103.93,1.25,8.02,0.63,0,2.19,0,0,0,268.14,0,0,0
 72-82,0,0,0,0,6.11,3.7,0,259.9,0,0,20.82,4.41,0,0,2.2,0,0,0,0.78,0,11.96,0,0,1.25,1439.83,0,5.3,0,0,4.71,0,0,0,201.87,1.32,0,3.55
 84-94,0,0,0,0,4.05,1.49,0,257.95,0,0,21.94,0.92,0,0,0,0,0,0,0,0,2.85,0,0,1.49,901.34,0.6,6.05,0.95,0,2.09,0,0,0,137.86,0,0,0
 96-106,0,0,1.17,0,1.86,0,0,87.33,1.47,0,21.16,3,0,0,0,0,1.38,1.33,9.83,0.77,6.43,0,0,0,760.51,0,9.46,13.79,0,7.8,0,0,0,59.2,0,1.37,0
108-118,0,0,0,0,1.12,0,1.93,132.03,0,0,24.22,0.67,0,0,0,0,5.15,0,1.02,0,12.53,0,0,1.01,1115.85,0,7.58,2.83,0,3.37,0,0,0,51.87,0,0,0
120,0,0,0,0,3.71,2.42,0,325.51,0,19.12,21.32,0,0,0,8.93,6.31,0,0,0,0,14.26,0,6.66,1.32,1765.55,0,0,3.98,0,1.01,0,9.01,0,69.11,0,0,0
