stage,endocrine_pancreas,epidermis,eye,immune,ionocyte,liver,mesenchyme,muscle,neural
 24-34,0,0,0,5.85,0,0,0,0,0
 48-58,0,0,0.41,0,0,0,1.57,0.46,0
 60-70,0,0,0,0,0.58,0,0.85,0,6.04
 72-82,0,0,0,0,0,0,2.05,0.5,1.02
 84-94,0,0,0.58,0,0,3.1,4.24,0,1.37
 96-106,1.53,0,0,12.27,0,0,1.38,0,0
108-118,0,0.57,0,0,0,0,0,0,2.36
120,0,0,0,0,4.71,0,3.76,0,0
