stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,100.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,157.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.95,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,0,0,0,3.39,0,0,0,0,0,0,0,0,0
 10-12,0,11.89,0,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.08,0,0,0,22.19,0,0,66.47,0,0,0,0,0,0
 14-21,0,0,0,0,29.71,1.64,0,2.32,0,0,1.5,0,0,0,0,0,8.49,0,0,1.19,13.25,1.61,0,0,0.89,0,0,30.91,0.88,2.01,0,0,5.85,0
 24-34,0,0,0,0,1.57,0,0,0,0,1.4,0,0.61,0,0,0,0,0,0,0,0,8.69,0,0,11.37,0,0,0,2.77,0,2.4,0,0,58.29,0
 36-46,0,0,0,0,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0,3.42,2.1,0,0,0,0.89,0,3.33,0,0,0.91,0
 48-58,0,0,0,0,8.77,0,0,0.99,0,1.06,0,0,0,0,0.63,0,0.8,0,0,0,0.47,0,0,0,0,0,0,0,0,2.21,0,0,0,0
 60-70,0,0,0,0,10.79,3.92,0,4.38,1.14,20.66,0,0,0,0,6.96,0,9.3,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.44,0,13.38,0,0,13.81,0,7.39,2.87,0,0,0,16.17,0,9.62,0,1.1,2.02,17.7,0,0,1.19,0,0.71,0,0.55,0,0,14.76,19.34,0,0
 84-94,0,0,7.74,0,73.39,0,0,10.02,0.66,13.92,9.74,0,0.56,4.16,10.96,1.33,6.34,2.26,7.22,0,14.32,0,0,0.75,0,0,0,5.34,0,0,9.05,0,0,0
 96-106,0,0,7.5,0,144.45,0,0,4.89,2.11,16.53,43.6,0,1.23,5.36,10.93,3.33,13.85,0.98,0,0,29.48,0.57,0,4.53,0,0,0,1.45,0,0.78,32.37,5.49,0,0
108-118,0,0,4.2,0,230.22,0,0.44,13.85,1.75,6.29,63.9,0,3.72,5.33,36.49,13.32,34.07,0,2.07,0,24.59,2.51,0,3.92,0,0,18.39,3.56,0,0.63,37.26,21.76,0,1.45
120,5.65,0,21.12,0,395.83,2.41,0,18.9,6.2,27.06,149.19,3.53,3.44,10.13,1.76,17.8,51.94,0,0,0,57.6,0,0,7.36,0,0,0,9.49,0,0,4.44,0,0,0
