stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.43,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.37,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,20.71,0,0,14.3,41.05,17.51,0,0.94,0,0,0,0.93,6.68,18.76,13.77,0,0,0,0
 24-34,0,2.3,6.34,0,0,11.27,4.95,4.29,21.01,3.27,1.37,0,3.73,2.94,0,0,0.6,169.71,0,2.66,99.15,190.59,15.18,0,11.69,0,2.13,1.93,0,16.36,5.43,15.3,0,0,0,8.23
 36-46,0,0,7.4,0.76,0,3.66,15.09,26.64,50.65,0.95,10.28,0.81,1.01,9.25,0,1,0.58,235.74,0,5.14,61.25,130.46,13.82,0,13.96,0,0,1.07,8.18,12.46,0,10.04,0,4.04,0,20.63
 48-58,0,0,1.77,0,0,23.87,7.03,35.51,80.72,2.14,2.01,4.82,0,6.58,0,1.02,12.2,295.48,0,3.58,25.72,119.05,17.35,0,14.23,0,0,1.18,0,0.82,0,13.44,0,0,1.68,40.7
 60-70,0,0,19.71,0,0,19.37,0,54.67,138.79,0,25.4,3.95,0,27.2,0.77,0,4.76,393.17,0,6.73,30.23,129.33,15.96,0,6.1,0,0,0.86,0,3.68,0,6.4,1.34,8.27,1.54,13.93
 72-82,0,0,10.8,1.2,0,72.26,3.31,40.25,184.1,26.83,18.27,4.78,0,28.73,0,0.62,0.87,701.63,0,22.47,50.55,119.77,2.95,0.58,28.15,0,4.18,0,0,1.22,0,1.37,9.51,45,7.65,44.44
 84-94,0,0,13.23,0,0,60.3,6.69,32.88,193.55,13.92,19.22,3.2,0,7.05,3.36,1.78,22.9,564.59,0,28.6,66.6,123.51,2.67,0.81,23.83,0,0,0,0,5.22,0,1.24,15.85,46.42,10.51,27.77
 96-106,0,0,31.93,8.72,0,75.41,0.59,56.2,279.84,30.11,56.74,5.58,0.71,26.8,0,6.37,14,629.23,0,24.79,86.07,135.54,0.62,2.1,23.76,0,9,2.24,0,8.84,0,0,7.73,108.87,11.73,33.35
108-118,0,0,33.94,3.65,0,54.72,1.43,45.11,235.79,38.8,33.69,7.24,1.09,23.11,0,7.24,18.81,733.52,2.89,37.73,99.8,139.2,2.98,0.54,34.21,0,16.03,3.32,0,10.77,0,0,5.88,94.14,13.75,39
120,0,0,42.14,4.74,1.6,121.61,4.06,40.17,199.36,12.57,23.83,3.38,0,7.78,0,5.11,0,698.36,0,37.68,104.42,126.03,7.92,0,34.29,0,36.73,0,0,0,0,0,1.51,189.26,34.64,18.68
