stage,axial,blastomeres,eye,fast.muscle,glial,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,11.6,196.51,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.34,57.43,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0
 14-21,0,0,2.92,0,0,0,0,0,19.42,0.89,0,0,0.81,0,0
 24-34,0,0,2.27,0,1.02,0,0,0.64,19.95,0,0,0,0,0,0.86
 36-46,0,0,1.04,0,2.24,0,1.37,0,7.54,0,0,0,0,0,0
 48-58,0,0,0,0.5,0,0,1.51,0,2.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0.89
 72-82,0,0,0,0,1.48,0.65,3.48,0,0,0,0.61,0,0,0.76,0
 84-94,0,0,0,0,0,0,0.69,0,2.5,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.7,0,2.13,0,0,0,0,1.78,0
108-118,0,0,0,0,1.05,0,5.74,0,0,0,0,0,0,0.54,0
120,0,0,0,0,24.19,0,10.14,0,0,0,0,0,0,0,0
