stage,epidermis,eye,iridophores,mesenchyme,muscle,neural,notochord,spinal.cord,vasculature
 24-34,0,0,0,0.69,0,0,0,0,0
 36-46,0,0,0,0,0,0.64,0,0,0
 48-58,0,0,0,0,0,1.8,0,0.75,0
 60-70,0,0,0,23.99,1.63,0,2.62,0,0
 84-94,0,0,0,0,0,1.62,0,0,0
 96-106,0.75,0,1.41,5.81,0,0,1.94,0,0.91
108-118,0.81,2.99,0,4.51,0.68,3.85,0,3.01,0
