stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,1.98,0,0,0
 24-34,0,0,0.81,0,0,0,0,10.05,0.61,0,0,0,0,1.26,1.03,48.25,1.76,0,0,14.15,0,0,0
 36-46,0,0,0,0,1.26,0,0,3.22,0,0,0,0,0,0,0,179.24,2.1,0,6.17,19.51,0,0,0
 48-58,0,0,0,0,13.6,0,1.71,1.81,0,0,0,0,0,0,0,303.56,1.79,0,0.41,39.14,0,0,0
 60-70,0,11.32,0,0,25.87,0,0,4.73,0,0,0,10.83,0,0,0,361.92,2.41,0,0,34.84,0,0,0
 72-82,0.64,0.65,0,0,58.21,0,0,8.31,0.52,0.58,0,0,0,3.63,0,526.61,5.36,0,1.93,46.88,0,0,0
 84-94,0,0,0,0,48.99,0,0,0,0,0,1.9,0,0,5.48,0,243.04,7.04,0,7.24,32.1,0.9,0,2.14
 96-106,0,0.79,0,0,41.39,0,0,3.47,0,0,0,0,0,3.83,0,262.27,3.84,0,4.08,9.71,0,0,0.72
108-118,0,4.37,0,0.45,34.1,0,0,10.5,0,0,0.42,0.59,0,2.04,0.95,231.14,1.74,0,4.31,9,0.72,0.95,0
120,0,0,0,0,9.64,1.54,2.75,2.03,0,0,0,0,3.86,7.57,0,286.51,0,0,0,8.85,0,0,0
