stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,0,3.18,0,0,0,0,0,0,0,0,1.1,0,0,7.7,0,0,0,0.82,1.01,2.17,8.14,0
 24-34,0,0,0.81,0.67,0,0,2.96,2.67,0,0,0,0,0,4.29,0,6.14,2.79,0,2.06,0,0.84,0
 36-46,0,0,0,9,6.64,0,1.67,0,0,0,2.13,0,0,6.94,0,0,3.71,0,0,0,3.46,0
 48-58,0,0,0,4,0,6.18,2.49,0,0,0,1.35,0.5,0,10.02,0.5,0,6.19,0,0,0,3.14,0.5
 60-70,0,0,0,5.07,0,1.64,0.62,0,0,0,0.62,0,0,7.48,0,0,1.44,0,0,0,0,0
 72-82,0,0,0,8.09,0,0,2.32,0,0,0,6.25,0,0.57,12.01,0,0,6.94,0,0,0,0,0
 84-94,0,0.56,0,0,0,0,1.02,0,0,0,1.57,0,0,7.29,0,1.46,17.07,0,0,0,0.94,0
 96-106,1.03,0.75,0,0,0,0,0,0,0,0.61,0,0,0,3.09,0,0,19.89,0,0,0,0,0
108-118,0,0,0,0,1.9,0,3.08,0,0,0,5.72,0,0.56,10.95,0,0,15.6,0,0,0,0,0
120,0,4.24,0,0,1.05,0,0,0,11.42,0,1.25,0,0,5.99,0,0,18.39,0,0,0,0,5.76
