stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0.98,38.77,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,7.4,3.24,1.08,1.95,5.7,0,0,0,26.72,0,0,0,0
 24-34,0,0,66.63,0,0.62,0,2.14,1.06,0,0.77,0.67,3.13,0,1.68,0.65,0,0.68,0.69,0,0,22.14,0,2.75,1.59,111.95,2.76,0,0.74,3.51,0,0,1.32,0
 36-46,0,0,67.42,0,1.63,1.9,23.3,0,0,0.59,0,8.02,0,0,0,0,0.83,1.5,0,0.73,31.3,1.32,5.92,0,149.86,2.96,0,0,2.95,0,0,0,0
 48-58,0,0,55.6,0.44,11.25,0.71,18.85,0,0,0.57,0,0,0,1.69,0,0.78,1.67,0.53,0,1.36,25.69,0,0,3.58,77.66,0,0,0,1.34,0,0,0,0
 60-70,0,0,62.6,0,0.76,0,45.22,0.84,0,0,0,3.91,0,0,1.78,0,4.79,1.41,0,0,36.43,0.96,9.04,6.48,113.44,1.37,0,0,4.57,1.22,0,13.69,0
 72-82,0,0,38.7,0,17.62,0,19.96,2.12,0,1.91,0.5,0,0,0.53,0,0,6.14,2.47,0,3.06,38.91,0,10.71,0,28.03,0,0.79,0,5.01,1.67,2,0,0
 84-94,1.29,0,78.71,0,10.59,0,22.49,0,4.1,5.82,4.6,4.98,0,2.71,2.07,0,16.24,4.63,0,0,11.37,0,3.88,0,136.07,0,0,0,0,0.64,0,0,0.89
 96-106,1.98,0,72.03,0,12,0,19.75,0.82,0,6.3,0,6.34,0,0.92,5.13,0,11.2,3.16,1.37,0.9,34.68,0,13.25,5.8,125.19,0,0,0,0,2.04,2.14,0,0
108-118,0,0.49,154.2,0,6.75,0,49.06,0.73,1.88,15.14,0,4.48,7.43,1.02,0.55,0,7.71,4.74,0,0,22.85,0,13.31,1.09,100.84,0,0,0,0,5.16,2.05,0,0
120,0,0,275.41,0,3.93,0,53.36,0,0,12.33,0,6.19,0,0,9.76,0,3.6,2.46,0,3.36,53.83,0,19.12,4.63,83.8,2.39,0,0,0,3.92,0,0,0
