stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,15.68,0,0,0,0,3.8,0.86,0.83,0.96,8.85,0,0
 24-34,0,0,3.86,0,0,0.77,0,0,0.78,0,0,0,6.86,0,32.34,1.28,0,0,0,0,0,0,0,12.27,1.47,0
 36-46,0,0.58,2.13,1.39,0,1.5,0,0,0,0,0,0,1.6,1.56,21.46,0,1.48,0,1.04,0,0,0,0,5.65,0,0
 48-58,0,0,8.9,0,0,2.86,0,0,0,0,0,0,3.59,0,26.44,0,0,1.04,0,0,0,0,0,9.63,0,0.51
 60-70,0,0,12.85,0,0.67,1.99,0,0.9,0,0,0,0,6.17,0,30.82,0,0,0,0,0,0,0,0,14.13,0,0
 72-82,0.57,0,17.06,0,6.31,2.37,0,0,0,0,0,0,18.71,0,42.44,0,2.93,0.97,0,0,0,0,0,0,1.94,0
 84-94,0,0,17.47,0,0,0,0,0,0.89,0.55,0,0,4.89,0.9,23.82,0,4.81,0,0,0,0,0,0,1.42,0,0
 96-106,0,0,18.44,0,0,0,0,0,4.84,0,0,0,8.49,0,18.84,0,6.85,2.07,0,0,0,0,0,10.2,0,0
108-118,0,3.07,16.25,0,0.92,2.35,0.45,0,9.38,0.73,0.93,0.98,5.32,0.52,17.03,0,0.46,0,0,0,0,0.53,0,1.72,0.6,0
120,0,3.35,14.27,0,0,0,0,0,1.85,0,0,0,18.18,1.25,51.24,0,0,0,0,0,0,0,0,0,1.32,0
