stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  5-6,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.87,0,0,4.98,0,0,0
 10-12,0,3.66,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0.93,0
 36-46,0,0,0,0,1.86,0,0,0,0,0,0,31.7,0,0,0,0,2.49,0
 48-58,0,0,0,0,4,0,0,0,0,2.78,0,44,1.37,0,0,0,3.85,0
 60-70,0,0,0,0,11.45,0,7.25,0,0,0,0,49.83,0,0,0,0,3.68,0
 72-82,0,0,0,0.81,10.61,0,0.56,0,0,2.28,0,86.65,0.7,0.84,0,0,0.6,0.99
 84-94,0,0,0,0,5.65,0,1.44,0,0.59,0,0,60.32,0,0,0,0.8,0,0
 96-106,0,0,2.64,0,4.8,0,1.01,0,0,3.14,0,91.8,1.77,0,0,6.06,0,0
108-118,0,0,0,0,6.9,0,2.43,0.54,0,1.77,1.48,99.69,0,0,0,0,0,0
120,0,0,0,3.18,9.88,1.95,0,0,0,0,0,249.96,0,0,0,0,9.81,0
