stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,xanthophores
  3-4,0,418.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.18,324.01,6.55,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0,0
  7-9,0,9.64,11.11,0,0,26.8,0,0,0,0,0,79.37,5.93,0,21.18,0,0,0,0,0,0
 10-12,0,10.85,0,0,0,21.01,0,0,0,0,0,56.96,0,0,55.21,0,0,8.13,0,0,0
 14-21,0,0,0,0.93,1.06,1.65,0,0,0,0,0,12.79,0,0,0,0,1.8,0,0,1.85,0
 24-34,0,0,0,0,0,0.75,0,0,0,0.75,1.3,6.92,0,0,0,0,0,0,0.65,3.94,0
 36-46,0,0,0,0.66,0,0.86,0,0,0,0,0,9.81,0,0,0,0,0,0,0,0,1.87
 48-58,0,0,0,0,0,6.27,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,6.91,0,0,0,0,0,1.68,0,0,0,0,0,0,0,1.37,0
 72-82,0,0,0,0.88,0,0.86,1.14,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.11,0.45,3.92,0,5.25,0,0,0,6.06,0,0,0,0,0
120,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
