stage,erythrocytes,eye,fin.epithelia,glial,gut,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,6.2,3.49,0,0,0
 14-21,0.92,0,0,0,1.07,1.03,0,0.88,0,0,0,0
 24-34,0,0,0,0,0,0.81,0,0,0,0,0,1.38
 36-46,0,1.4,0,0.92,0,0.59,0.92,0.59,0,0,0,3.15
 48-58,0,0,0,0,0,0.91,0,7.46,0,0,1.88,1.07
 60-70,0,5.46,0,0,0,0,6.11,5.36,0,0,0.99,0
 72-82,0,2.96,0,2.04,0,7.43,0,3.05,0,0,0,1.27
 84-94,0,3.78,0,0,0,5.87,0,5.66,0,0,0,0
 96-106,0,0.7,0.58,0,0,0,0,3.15,0,0.6,0,0
108-118,0,1.77,0,0,0,7.95,0,7.74,0,0,0,1.35
120,0,4.59,0,0,0,0,0,4.75,0,0,6.95,12.08
