stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,30.88,1186.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.25,0,0,0,0,0,0,0,0
  5-6,105.56,1248.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.12,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.53,54.24,67.63,0,0,0,149.86,0,0,59.73,0,0,0,0,0,0,0,0,0,1239.6,27.88,0,0,393.94,0,18.39,0,0,0,0,0,0,0
 10-12,0,27.48,65.63,0,14.15,0,120.53,0,0,5.9,0,0,0,0,0,0,0,0,0,1359.35,3.15,0,0,311.38,0,0,5.62,40.82,0,0,0,0,0
 14-21,0,0,0,5.36,3.4,0,4.65,1,0,0,0,0,0,0,0,2.2,0,0,3.76,122.35,1.79,0,0,1.86,2.88,0,16.04,0,6.06,28.69,0,0,0
 24-34,0,0,0,7.28,2.9,0,49.67,9.79,0,0,0,0,0,0.78,0.96,27.59,1.24,0,12.28,479.26,0,2.71,6.23,0,4.08,0,0,0,1.5,94.04,0,0.71,1.87
 36-46,0,0,0,7.51,1.44,0,185.34,11.18,0,0,0,0,1.04,0,0.62,33.88,4.4,0.89,4.99,410.52,0,2.77,0,0,2.38,0,4.27,0,0,88.37,0,3,0
 48-58,0,0,0,8.4,5.2,0,188.47,10.86,0,0,0.45,0,2.01,0.39,0,23.85,0,0.42,5.04,166.96,0,1.66,5,0,0,0,0,0,0,12.38,0,0.5,0
 60-70,0,0,0,8.54,0,0,196.26,10.71,0,0,1.33,3.74,0,1.21,0,35.33,0,1.58,3.08,142.34,0,5.3,1.08,0,5.95,0,0,0,0,8.95,0,0.63,0
 72-82,0,0,0,0.94,1.31,0,41.21,2.67,1.01,0,4.58,2.21,8.88,0,0,19.13,0,0,1.6,36.29,0,1.63,0.76,0,0,0,0,0,0,0.61,0,2.09,0
 84-94,0,0,0,2.99,1.67,0,49.9,2.12,2.62,0,0.83,1,3.92,0,0,32.99,0,0,1.62,46.61,0,0,0,0,0.66,0,0,0,0,1.03,1.17,5.26,0
 96-106,0,0,0,0,0,0,18.56,2.35,0.66,0,0,0,0.92,0,1.12,9.01,0,0,1.67,16.34,0,0,0,0,0,0,0,0,0,0,0,1.42,0
108-118,0,0,0,0,1.2,0.85,32.29,6.38,2.03,0,0.49,0,0,0,0,14.24,0,0,1.67,30.29,0,0,2.37,0,1.62,0,0,0,0,0,1.68,4.27,0
120,0,0,0,1.6,5.15,0,64.52,8.19,0,0,18.53,0,0,2.13,0,8.03,0,2.35,4.45,70.74,0,0,0,0,1.37,0,0,0,0,0,5.08,2.9,0
