stage,epidermis,eye,fin.epithelia,glial,gut,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,10.74,0,0,0,0.82,0,0,0,0,0,3.62,1.69,0,0,2.46,2.72,0.86,0,0
 24-34,1.56,0,0,0,0,0,0,3.01,0,0.78,6.48,0,0,0,1.52,0.99,2.2,0,0
 36-46,0,0.56,8.54,0,0,0.56,0,2.66,0,2.22,24.25,2.14,0,0,0,4.68,4.42,6.8,0
 48-58,0,1.03,0,1.17,0,0,0,5.79,0,0.43,25.59,0,0,0,0,0,2.08,0.82,0
 60-70,0,6.44,0,4.8,0,0,0,13.8,0,1.67,26.84,0,0,0,0,0,10.91,1.06,0
 72-82,0,1.59,0,17.75,0,0,0,5.78,0,0,19.59,0,0.7,0,0,0,8.63,0,0
 84-94,1.78,2.3,0.66,3.94,0,0,0,12.28,1.37,0,17.02,0,0,0,0,0,3.2,1.21,0
 96-106,0.88,11.31,0,8.48,0,0,0,5.71,0,0,30.09,0,0.81,2.63,3.4,0,0,2.38,0
108-118,0,18.36,0,4.77,0,0,0,10.95,1.5,0,21.87,0,0,1.88,0,0,0.94,0,0
120,4.68,4.6,0,0,0,0,1.12,1.45,0,0,28.96,0,0,0,0,0,0,3.45,3.93
