stage,erythrocytes,mesenchyme,neural,periderm,slow.muscle,somites,xanthophores
 14-21,0,0,0,0,0,0.9,0
 24-34,0,0,1.61,0,0,0,0
 36-46,0,0,3.66,0,0,0,0
 48-58,0,0,3.31,0,0,0,0
 60-70,0,1.42,0,0,2.37,0,2.64
 96-106,0,2.58,0,0,0,0,0
108-118,0,0,2.04,0.53,0,0,0
120,1.53,0,0,0,0,0,0
