stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,168.82,3326.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.99,0,0,0,0,0,0,0,0,0,0
  5-6,129.82,2225.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.24,0,0,0,0,0,1440.37,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,21.79,0,3.2,0,0,37.27,0,0,0,0,0,118.26,0,0,0,0,0,0,0,0,0,0,0,308.66,3.34,0,0,121.89,0,834.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.98,0,42.62,0,0,20.82,0,0,0,0,0,290.26,0,0,0,0,0,0,0,0,0,0,0,234.05,17.57,0,0,76.84,0,213.82,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,9.74,32.47,0.88,8.1,0,0,0,0,1,39.32,0,0,53.65,0,0,7.34,0,10.28,10.89,0,0,38.31,2.29,1.08,0.8,0,0,2205.38,6.64,4.2,1.99,6.25,9.36,0,0,0,0,1.22
 24-34,0,0,0,2.13,30.18,0,17.79,0,0,0,5.53,1.53,7.41,0,0,144.75,0,0,6.78,0.62,14.02,30.59,0,2.21,169.05,6.54,7.67,2.1,0,0,2532.92,0,1.28,0.91,0,20.04,0,0,1.21,0,8.86
 36-46,0,0,0,0,14.86,5.75,24.61,0,6.2,0.6,42.13,0.98,7.5,0,2.15,25.49,9.87,0.66,0,0,18.99,21.97,0,5.22,148,0.56,14.05,7.53,0,0,2244.92,0,3.05,0,0,18.83,0,0.85,0,0,2.02
 48-58,0,0,0,0,32.34,0,44.25,0,6.57,1.57,134.22,1.25,0,0,0,20.88,47.05,0,0,10.41,9.28,5.17,0,0,109.34,0.5,20.26,0.44,0,0,915.08,0,0,0,0,75.56,0,0,2.26,0,12.2
 60-70,0,0,1.1,0,20.7,0,94.36,0,12.85,0,326.93,3.95,0,0,0,9.96,109.22,1.03,0,0,11.67,4.42,0,1.75,79.15,0,5.3,1.99,0,0,404.67,5.3,0,0,0,46.13,0.61,1.1,0.89,0,6.79
 72-82,0,0,1.21,0,31.89,0,60.95,0,3.83,3.68,651.93,7.83,0,0.66,0,31.34,49.35,0,0,0,35.65,6.33,1.47,1.44,66.94,0,8.79,4.5,0,1.1,242.42,0,0,0,0,21.18,2.08,0.85,2.08,0.53,0
 84-94,0,0,7.5,0,42.35,0,47.41,0,7.09,0.62,507.15,34.88,0.71,0,0,47.94,79.05,3.27,0.6,0,17.45,5.55,0.66,1.32,40.3,0,5.62,0,0,0,752.42,0,1.34,0,0,19.08,3.8,0,1.35,0,8
 96-106,0,0,7.73,2.75,56.66,10.91,43.52,0.87,4.19,1.05,815.5,51.59,0,0.62,1.51,41.48,34.1,0.89,10.69,0,17.35,0.73,4.06,0,67.32,0,9.99,3.56,0,0,449.08,0,2.24,0,0,1.67,9.84,4.11,2.04,0,1.22
108-118,0,0,7.69,2.66,34.08,0,17.41,0,8.98,0,756.23,44.46,0,0,1.17,44.48,100.69,2.92,3.26,0,27.48,11.99,0.83,2.86,77.84,0,3.55,1.66,0,0.91,441.72,0,2.67,0,0,8.85,5.25,0,1.13,1.32,0
120,0,0,1.37,1.66,36.89,0,123.04,0,3.34,0,881.65,17.82,0,0,2.03,23.38,23.74,0,5.02,0,22.95,2.53,0,4.55,50.56,0,5.52,4.11,0,0,142.42,0,13.26,0,0,0,7.93,0,1.48,0,0
