stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.89,0,0,0,0,0,0,0,0,0,0
  5-6,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,0,0,0,6.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.94,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,66.38,0,0,0,0,0,13.08,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.51,15.87,0,2.53,0,0,0,0,0.82,0,0,0,0,0,0,0.91,0,0,2.57,3.36,0.82,0,0,0,0,0,0,0.83,0,3.99,7.44,2.08,0,0,0,0
 24-34,0,0.76,10,0,3.84,0,0,0.67,0,0,4.2,0,0,2.23,3.74,0.77,24.75,0.63,0,10.26,58.51,0,2.23,1.41,0,0,7.43,0,0,0,2.15,5.61,6.08,0,0,1.36,0
 36-46,0,0,6.47,0,3.51,1.13,0,0,1.6,0,0,2.55,0,1.49,1.97,0,26.86,0.59,0.71,14.96,54.84,0,1.53,23.25,0,0,0,0,2.14,0,0.65,1.18,1.44,0,0,0,0
 48-58,0,0,6.18,0,19.36,0,0,0,0.57,0.97,3.48,0,0,0.44,2.97,3.6,22.94,0.41,0,8.93,63.14,0,0.58,0,0,0,0,0,0,0,2.38,0,1.17,0,0,0,0
 60-70,0,0,20.22,4.44,23.08,5.87,0,0.77,24.35,4.6,5.76,0.93,0,1.15,2.28,0,54.29,6,0,6.06,31.15,0,1.08,2.08,0,0,0,0,0,0,1.5,0,1.12,0,0,0,0
 72-82,0,0,7.7,0,24.2,0,1.57,0,12.87,14.03,0.5,0.9,0,0.75,6.77,0,35.54,6.93,0,8.16,6.74,0,0,5.09,0,2.19,0,4.96,0,0,2.89,0,0,7.89,1.84,2.44,0
 84-94,0,0,13.2,0,8.07,0,0.63,0,1.14,12.03,0,2.09,0,0.96,7.93,0,35.3,0,1.79,8.74,4.91,0.61,1.41,4.93,3.85,0,0,0,0,0,0.83,0,0,19.16,1.47,0.64,1.49
 96-106,0,0,10.01,0,10.4,3.61,0,0,4.69,22.06,0,0,0,0,14.37,0.59,22.95,9.34,3.62,5.14,6.61,0.59,0.7,2.76,0,0,0,3.82,0,0,5.77,0,0,8.71,1.21,0,1.37
108-118,0,0,7.12,0,12.77,0.64,6,0,1.79,18.5,0,0,1.48,0,6.98,0.43,34.04,14.76,1.9,13.57,15.95,0,0.43,0.54,0,4.02,1.41,0,0,3.11,0.43,0,0,7.5,0,0,0
120,0,0,22,0,8.73,3.33,0,0,10.44,9.52,0,0,5.39,3.26,14.17,0,29.11,15.39,8.27,12.65,0,0,15.05,4.65,0,0,0,0,0,0,0,0,4.78,0,1.95,0,0
