stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.13,0,0,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,7.54,13.4,0,0,13.19,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.24,0,0,11.01,10.12,0,0,0,0,4.72,0,0,0,0,0,0,0,0,102.34,5.18,0,0,82.62,0,0,0,13.72,0,4.93,0,0,0,0,0,0
 14-21,0,0,4.29,730.95,53.14,0.82,17.62,0,2.53,5.77,0,0,0,0,0,100.86,2.27,0,103.59,60.17,1.01,6.58,2.56,0,0,0.91,60.5,0,0.86,381.86,50.47,0,0,4.19,0,0
 24-34,0,0,0,158.09,12.62,8.89,129.46,39.92,0.63,1.98,0,1.46,0,0,0,103.72,1.64,0,209.84,66.85,5.08,29.55,0,0,0,0,0,1.67,0.6,45.48,53.76,0,0,30.21,0,0
 36-46,0,0,0,3.3,0,12.28,49.14,74.4,2.22,0,0,1.54,0,0,0,287.27,0,0.8,141.21,105.22,0,9.86,0.82,0,0,0,0,0,0,2.69,52.92,0,0,10.68,0,1.9
 48-58,0,0,0,2.12,0,33.78,19.8,56.89,1.93,0,0,0,0,0,1.29,255.79,0,0,100.66,63.1,0,2.84,0,0,0,0,0,0.61,1.46,0,42.58,0,0,4.16,0.72,0
 60-70,0,0,0,4.79,0,19.93,4.56,36.35,2.81,0,0,0,0,0,0,204.23,0,0.59,44.06,67.62,0,9.81,0,0,0,0,0,0,0,0,13.13,0,1.19,1.68,1.46,0
 72-82,0,0,0,0,0,35.89,6.95,65.76,29.05,0,0,8.31,4.38,0,0,140.15,0,0,36.22,87.51,0,0.95,0,0,0,0,0,0.97,0,0,39.9,0,3.43,2.79,0.93,0
 84-94,0,0,0,0,0,68.02,18.53,33.62,29.31,0.63,0,0,1.28,0.9,0,150.85,0,1.87,45.93,54.66,0,0.81,0,0,0,0,0,0,0,0,40.79,1.17,4.1,7.66,0,0
 96-106,0,0,0,0,7.5,27,1.95,17.94,54.46,0,0,3.13,1.08,0,0,100.79,2.38,3,28.06,78.33,0,3.77,0.9,0,3.26,0,0,0,0,0,16.89,0,0,0,2.43,0
108-118,0,0,0,2.28,0,34.9,1.83,32.64,64.41,0,0,2.12,0.44,0,0,81.63,0,1,21.18,57.31,0,3.15,1.27,0,0,0,0,0.61,0,0,9.27,0,1.19,4.38,0,0
120,0,0,0,1.68,1.72,45.64,0,18.47,58.06,0,0,10.51,0,0,0,74.12,0,0,5.27,97.47,0,0,0,0,0,0,0,0,0,0,2.33,0,0,5.33,0,0
