stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,404.74,4401.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,845.83,12266.84,155.02,0,0,0,0,0,0,0,0,0,0,3686.04,0,1477.68,17.03,0,0,0,0,0,0
  7-9,7.41,424.33,1037.43,0,0,0,0,0,143.61,0,0,0,0,1618.85,83.36,13525.56,3.63,89.97,0,0,0,0,0
 10-12,0,58.18,60.52,0,0,9.09,0,0,10.2,0,0,0,0,181.79,67.17,2540.98,0,0,267.44,59.23,0,170.57,0
 14-21,0,3.56,0,13.22,33.26,2.13,0,0.89,0,0,0.81,0,5.43,61.69,0,1.86,0,0,4874.62,0,11.22,1074.59,5.34
 24-34,0,0,0,0.63,0,4.05,0.67,0,0,1.01,0,3.79,0,1.22,1.15,0,0,0,51.8,0,0,472.55,0.69
 36-46,0,0,0,0,0,0,0,0,0,1.84,0,0,0,1.62,0,0,0,0,0,0,0,14.18,2.45
 48-58,0,0,0,0,0,1.23,0,0,0,0.63,0,5.96,0,2.77,0,0,0,0,0,0,0,0,0.87
 60-70,0,0,0,0,0,0,0,0,0,0,0,2.7,0,9.81,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,10.08,0.56,0,0,0,0,4.9,0,2.74,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.82,0,0,0,0,7.14,0,0,0,0,2.6,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.76,0,0,0,0,8.77,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,10.32,0.59,0,0,0,0,2.85,0,1.83,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
