stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,gut,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,somites,vascular.smooth.muscle,vasculature
  5-6,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,18.09,3.96,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0.64,0,0
 36-46,0,0,0,0,1.68,0,0,0,0,0,6,0,0,0,0,0,0
 48-58,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.54,0,1.57,0,0,6.59,0,0.73,0,0,1.78,0,0,1.62,0
 84-94,0,0,0,1.45,1.48,0,0,8.52,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.62,0.62,0,0.66,35.81,0,0,0,0,2.88,0.72,0,0,0
108-118,0,0.49,0,0,0.49,0.5,0.85,52.97,3.11,0,6.89,0,1.91,0,0,0,0
120,0,0,0,4.19,0,0,0,36.22,0,0,0,0,0,0,0,0,2.15
