stage,blastomeres,erythrocytes,exocrine_pancreas,eye,hatching_gland,immune,mesenchyme,neural,olfactory,periderm
  5-6,9.32,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.65,0,0,0,0,0
 14-21,0,11.6,0,0,0,60.3,0,0,0,0
 24-34,0,0,0,0,0,26.86,0,0,1.7,0
 36-46,0,17.02,0,0,0,11.49,0,0,0,0
 48-58,0,0,0,0,0,17.61,0,0.66,0,0
 60-70,0,0,0,1.63,0,13.56,0,0,0,0
 72-82,0,0,0,0,0,23.37,0,0,0,0
 84-94,0,0,0,0,0,60.65,0,0,0,0
 96-106,0,0,0,0,0,66.95,2,0,0,0
108-118,0,0,0.72,0,0,70.62,0,0.85,0,0
120,0,0,0,0,0,56.42,0,0,0,1.97
