stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,15.67,182.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.62,171.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.62,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.77,0,0,9.04,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,0,0,0,3.3,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,0,0,0,0.86,0,0,1.02,0,0,6.48,1.37,1.38,0,19.38,0,5.14,0,0,0
 24-34,0,0,0,0.59,0,0,0,0,0,0,0,0.66,0,0,0.84,0,0,73.97,3.46,1.33,0,9.24,0.79,15.79,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0.6,3.59,1.14,162.39,10.15,0.78,0,6.78,0,20.05,0,0,0
 48-58,0,0,0,0,14.94,0,0,8.84,0,0,0,0,0,0,0,1.49,0.47,200.97,5.76,0.7,0,2.11,0,26.95,0,0.52,4.63
 60-70,0,0,0,12.36,59.31,0,0,2.47,0,0,0,0,0,0,2.07,0,1.49,315.01,2.27,0,0,13.85,0,33.98,0,0,0
 72-82,0,0,0.79,0,73.51,0,0.64,2.22,0.97,0.55,0,0,0,0,0,6.83,0,223.4,3.71,0.61,0,1.5,0,32.68,0.5,0,0
 84-94,0,0,0,0,62.27,0,0,2.72,0,2.81,0,1.03,1.34,0.9,0,2.35,0,189.13,6.49,1.29,0,4.35,0,33.85,0.9,7.19,0
 96-106,0,0,0.9,3.36,52.52,0,0,1.1,2.23,0,0,0,0,0,3.15,2.99,0,133.12,4.39,0.66,0,2.3,0,12.11,0,3.24,0
108-118,0,0,0,5.03,37.28,0,0,3.64,2,0,0.88,1.05,0,0.82,0.64,6.16,0,150.15,3.98,0.56,0,0.9,0,14.22,1.77,0,0
120,0,0,0,3.3,64.58,1.13,0,8.76,0,0,1.43,0,0,0,0,0,0,278.11,1.26,2.84,0,2.73,0,1.64,0,0,0
