stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,68.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.59,72.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.84,0,0,0,0,0,0,25.85,4.14,0,21.62,0,0,0,0,0,0
 10-12,0,0,7.17,0,0,0,0,0,0,0,0,0,43.4,0,0,44.92,0,0,0,0,0,0
 14-21,0,0,0,1.73,0,0,0,0,0,0,1.17,0,4.94,0,0,0,0,1.18,0,3.82,0,0
 24-34,0,0,0,0,0,3.72,0,0,0,0,2.2,0,25.92,0,2.08,0,0.92,0,0.83,0.8,0,0.85
 36-46,0,0,0,0,5.03,8.96,0,0.64,0,0,0,0,13.75,0,0,0,0,0,0,0.58,0,0.8
 48-58,0,0,0,0,2.76,5.16,1.38,0.6,0,0.84,0.75,0,9.39,0,0,0,1.28,0,0,0.79,0,3.48
 60-70,0,0,0,0,0.67,3.39,0,0,0,9.31,0,0,6.66,0,0,0,0,0,0,0,0,1.38
 72-82,0,0,0,0,0,0.55,0,0,0,0,1.71,0,5.08,0,0,0,0,0,0,2.65,0.63,0.72
 84-94,0,0,0,0,0.69,0,0,0,0.58,1.6,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.82,0,0,0,0,0.54,0,3.58,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.51,0,0,3.88,0,6.77,0,3.51,0,0,0,0,0,0,0,0,0,0
