stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.51,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,3.01,15.62,1.95,0,4.45,2.32,0,10.06,0,1.23,3.31,0,0,0,0,0
 24-34,0,0,0.74,0,0,1.27,0.74,0,0,0,0,1.85,0,0,0,0,0,0,2.67,0,0,2.62,16.91,0,0,1.5,0,0,5.06,0,0.65,1.95,0,0,0,0,0
 36-46,0,0,0,0,0,1.06,0,0.58,0,0.79,0,0,0,0,0,0,0,0,5.91,0,0,0,26.43,0,0,0.57,0,0,24.59,0,0,5.91,0,0,0,0,0
 48-58,0,0,0.86,0,0,3.97,0,0.39,0,3.22,0,0.59,0,0,0,0,0,0,9.48,0,0.53,0.51,27.8,6.44,0,0,0,0,16.92,0,0,2.15,0,0,0,0,0
 60-70,0,0,0.64,0,95.57,6.41,0,0,0,3.56,0,0,0,0,0,0,0,0,12.87,0,0,0,63.06,0,0,0,0,0.84,13.23,0,0,0.77,0,0,0,0,0
 72-82,0,0,6.35,14.58,1211.94,56.63,0,0,0.77,10.85,0.85,1.42,1.21,0,1.24,0,6.18,0,43.63,4.62,0,2.33,247.37,0,0,0.83,0,0,16.27,2.8,0,7.9,0,0,2.85,4.01,0
 84-94,0,0,1.33,5.17,3113.3,49.25,0,1.72,0,11.83,3.03,0,5.29,0,1.52,0.69,10.46,0,62.73,0,0,5.62,143.35,2.78,1.13,0,0,0,30.69,0,0,3.66,3.86,0,1.81,0.68,0
 96-106,1.14,1.03,19.91,106.72,6131.89,194.4,1.45,1.21,11.94,49.21,14.38,3.97,18.71,4.97,4.43,4.93,37.37,8.01,132.61,3.36,3.48,9.74,556.2,0.97,0,4.41,0,1.45,63.39,0,0,15.2,13.36,1.88,37.09,4.23,15.13
108-118,2.17,0,28.97,49.14,11698.17,298.34,1.14,9.45,5.68,112.41,13.65,0,8.51,6.85,14.21,4.77,32.43,8.5,168.41,1.98,9.05,14.15,753.9,3.01,8.06,9.15,0,1.63,77.87,0,0.43,17.23,18.68,2.13,28.16,6.84,25.28
120,3.01,0,57.7,22.6,6381.93,141.95,1.26,2.74,15.39,67.18,1.74,0,16.66,1.72,7.23,2.13,0,0,101.7,0,33.08,14.59,777.13,4.97,0,3.28,0,2.76,21.68,1.21,0,9.46,8.12,0,15.73,7.28,3.58
