stage,epidermis,eye,fin.epithelia,glial,immune,iridophores,melanocytes,mesenchyme,neural,visceral.smooth.muscle
 14-21,0.92,0,0,0,0,0,0,0,0,0
 24-34,6.22,0,0,0,0,0,0,0,1.49,0
 36-46,23.76,0,0,0,0,0,0,0,0,0
 48-58,7.42,2.04,2.23,0,0,0,0,1.92,2.55,0
 60-70,10.66,0,13.84,0,0,0,0,0,0,0
 72-82,0,0,6.73,1.91,0,0,0,1.39,0,0.91
 84-94,3.18,0,2.2,0,0,0,0,0,4.09,0
 96-106,2.03,0,1,0.6,0,0,0,0,0,0
108-118,1.87,0,2.7,0,0.89,0.41,0,0,0,0
120,4.81,0,3.34,0,0,0,1.51,0,0,0
