stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.92,138.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0
  7-9,12.12,0,0,8.1,0,0,0,17.1,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0,0,0,85.13,0,0,0,157.74,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.7,0,124.97,0,0,0,18.34,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,551.58,62.79,0,0,1455.25,0,18.05,61.26,0,3.11,27.98,0,0,0,0,0
 14-21,0,0,3.01,1.33,54.85,6.97,0,9.06,1.69,0,16.89,3.16,0,0,0,0.9,0,0,0,1.21,5.42,0,0,10.63,290.56,3.49,12.33,1.11,7.29,1.31,68.64,4.49,1.79,29.27,195.74,0,0,5.9,0,0
 24-34,0,0,5.27,0.59,34.09,1.79,0,23.6,3.28,2.44,16.36,1.02,0,2.16,0,2.1,0,0.68,0,13.25,42.65,0,1.66,20.47,1619.89,1.32,53.49,6.92,0,11.96,1.04,5.18,1.44,40.76,357.08,0,0,51.3,0,0
 36-46,0,0,3.97,0,5.27,0,0,308.84,0.63,2.69,41.37,0,0,0.57,0.64,0.59,0,3.34,0.85,0,38.49,0.58,0.67,9.78,4363.36,0.64,85.96,0,0,4.78,0,1.55,0.64,0,640.99,0,0,39.04,0,2.01
 48-58,0,0,0.54,0,8.84,0.43,0,773.98,0,7.9,99.81,0,0,0.55,0,0,2.58,2.52,7.04,0.43,30.09,0,0,14.26,5422.74,0,38.18,9.18,0,3.08,0,0.9,0,0,716.13,0,0,12.05,0,11.22
 60-70,0,0,3.26,0,4.04,0,0,1614.15,2.29,6.86,86.04,2,0,0.84,1.84,0,0,3.49,0,10.18,24.1,0,0,6.58,6710.9,1.73,26.07,8.96,0,7.61,0,3.03,1.33,0,543.19,0,0.69,11.96,0,9.98
 72-82,0,0,11.12,0,9.5,0.54,0,1213.01,0,10.65,76.74,6.69,0,1.43,3.12,0,2.68,0.7,1.54,2.75,38.22,0,4.81,1.9,6331.13,0,43.83,8.15,0,0,0,0,0,0,387.47,0,0.63,6.86,0.51,11.93
 84-94,0,0,6.8,0,16.1,0.66,0,907.63,0,11.54,67.49,3.5,0,1.02,1.63,1.48,1.58,1.27,1.49,0,35.23,0,5.48,3.55,4376.38,0,38.49,16.77,0,9.47,0,0,0,0,362.59,2.64,2.54,3.89,0.82,2.43
 96-106,0,0,11.55,0,17.17,18.24,0,774.74,1.54,0,73.16,2.52,0,0,0,0,6.58,4.68,0,0,47.4,2.28,3.4,3.88,3479.73,0,45.17,10.84,0,9.51,0,0,0,0,98.57,3.41,0,7.85,1.33,4.6
108-118,0,0,1.52,0,44.59,1.9,0,690.58,0,4.95,43.03,2.84,0,0,2.16,0,4.78,1.83,0,0,34.42,0,0.69,0,3390.42,1.02,33.8,7.3,0,4.4,0,1.25,0,0,125.49,6,1.71,3.61,0.57,2.97
120,0,0,0,0,28.01,6.93,3.69,724.55,0,0,84.09,11.23,0,0,10.1,0,0,0,0,1.79,40.71,0,2.35,1.58,4466.6,6.27,30.04,3.28,0,2.63,0,8.88,0,0,74.58,2.39,0,0,1.45,0
