stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,89.11,524.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.13,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.49,426.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,85.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.99,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.72,4.4,0,0,13.27,0,31.63,4.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.56,52.65,0,0,0,13.94,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,246.51,0,0,0,15.45,0,53.52,0,0,6.11,0,0,0,0,0,0,0,0
 14-21,0,0,4.69,74.15,0.94,0,7.89,0,0,0,1.06,3.67,13.57,0,0,2.79,0,1.84,0,12.61,1.63,0,0.81,161.69,5.23,1.08,0,0,0,155.98,0,11.53,3.86,0,4.68,13.29,0,0,0,0,0
 24-34,0,0,0,7.6,0,0,8.47,0,0.62,0,0,2.05,1.08,0,1.95,1.78,0.97,1.53,0,18.14,8.94,0,3.95,251.14,0.67,3.91,4.56,0,0,74.68,0,0,1.76,0,1.18,39.22,0,0,1.01,0,0
 36-46,0,0,0,2.97,0,0,9.88,0,9.87,0,5.96,0.56,0,0,0.62,0,2.09,0,0,10.3,0.95,0,5.53,405.68,0.55,0,0,0,0,52.28,0.81,0,0.63,0,0,29.83,0,0,0.63,0,0
 48-58,0,0,0,15.11,0,0,41.42,0,5.11,0,48.57,5.15,0.4,0,1.83,0.52,1.24,3.2,8.84,26.83,2.11,0,1.55,551.97,0,2.28,0.48,0,0.53,52.03,0,0,0.74,0,0,47.36,0,0.44,2.8,0,3.77
 60-70,0,0,0,21.31,0,0,196.22,3.41,0,2.2,137.8,6.84,0,0,9.73,6.63,5.59,0.87,0.72,36.56,3.53,0,2.46,956.62,0,0.6,1.65,0,0,48.17,0,0,1.17,0,0,115.25,0,0,3.59,0,3.49
 72-82,0,0,0,12.32,4.42,0,211.69,0,2.22,1.19,117.91,2.13,3.11,0,0,2.29,2.11,6.97,1,41.74,9.82,3.02,14.82,642.77,0,0,1.55,0,2.17,20.11,0,0,0,0.53,0,47.93,3.66,0,1.02,1.5,2.83
 84-94,0,0,0,15.4,0,0,104.32,0,1.83,1.48,59.48,8.87,0.71,0,0,3.4,0,2.87,18.2,40.63,1.19,1.06,7.35,315.72,0,0,5.85,0,0,75.21,0,0,0,0,0,29.16,2.64,0,4.25,0,0
 96-106,0,0,0,24.5,0,3.53,84.31,1.88,0,1.44,45.87,11.35,0,1.76,2.73,0.56,5.72,3.5,0,28.84,12.95,0.76,5.03,278.14,0,1.17,2.43,0,1.51,42.44,0,0,0.71,0,0,10.73,2.17,0,0.66,0.66,0
108-118,0,0,0,20.61,6.37,0.46,76.13,0,1.79,0.72,80.54,12.83,0,0,2.07,2.4,0.69,1.18,3.25,21.13,10.11,0,1.08,411.13,0,0.96,1.68,0,0,35.59,0,0,2.1,0,0,11.99,4.11,0,4.84,0.9,0
120,0,0,0,35.24,0,0,61.87,0,1,0,170.33,2.11,0,0,14.01,1.36,0,0,0,16.24,3.54,6.37,1.54,581.22,0,13.79,0,0,0,51.67,0,0,0,0,0,20.06,1.19,0,2.15,0,0
