stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,9.76,40.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0
  5-6,6.18,118.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.47,0,9.13,0,0,45.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.83,0,0,0,27.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.86,0,0,37.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.76,4.23,0,0,54.44,0,0,5.95,0,19.77,0,0,0,0,0
 14-21,0,0,0,0,1.06,2.08,1.09,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0,86.07,0,1,0,0,0,0,1.12,2.03,0,1.09,66.01,0,0,0
 24-34,0,0,0,0,0,0,7.59,0,0,2.87,0,0,0,11.41,0,0,0,0,3.99,0,3.35,474.5,0,5.72,1.61,0,0,0,0,0,0.84,0,222,0,5.53,0
 36-46,0,0,0,0,0.68,0,3.95,5.91,0,0.99,0,0.63,0,0,0,0,0,0,5.02,0.77,0,685.47,0,11.41,0.57,0,0,0.66,0,0,0,0,211.58,0,1.47,0
 48-58,0,0,0,0,2.2,0,53.58,0,3.28,6.96,0,0,0,0,0,0,0,0,14.28,0,5.27,933.96,2.52,8.94,2.49,0,0.39,0,0,0,0,0,348.85,0,0,0
 60-70,0,0,0,0,1.01,0,116.76,0,0,3.38,0,0,0,0,0,1.13,0,0,10.49,0,0,1467.79,0,5.11,0,0,0,0,0,0,0,0,443.47,0,3.46,0
 72-82,0,0,0,0,2.68,4.4,216.5,0,6.31,22.61,0,0,1.5,0,0,0,0,1.88,18.74,0,3.91,1712.28,1.67,24.15,0,0,0,3.34,0,0,0,0,330.95,0,1.65,0
 84-94,0,0,1.33,0,7.01,0,163.22,0,0.93,11.8,0,0,3.85,0,0,0,0,0,14.17,1.06,1.19,1226.57,0,20.42,0.84,0,0,5.15,0,0,0,0,211.62,0.9,0,0
 96-106,0,0,0,0,17.45,1.4,183.89,0.59,0,26.84,0,0,0,0,0.57,0.62,5.88,0.77,14.82,2.13,0,1071.66,0,48.73,2.53,0,0,12.02,0,0,0,0,67.38,0,0,2
108-118,0,0,0,0,13.34,0.46,217.23,1.22,0,38.75,0.58,0,0,0,0,0,2.5,0,23.16,0,2.97,2050.35,0,20.64,1.28,0,0,5.59,0,0,0,0,131.1,0.68,0.55,2.67
120,0,0,0,0,12.04,0,224.41,2.43,0,36.29,0,0,12.35,0,0,0,0,1.64,6.93,0,3.2,2921.23,0,43.03,1.05,0,9.21,3.38,0,0,0,0,62.57,0,1.1,0
