stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,180.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,11.5,78.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.73,6.27,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.35,0,0,0,6.22,0,27.22,0,0,3.24,0,0,0,0,0,0
 14-21,0,0,0,1.56,0,0,0.9,0,0,0,0,0,0,0,0,6.71,0,0,0,0,0,0,8.88,4.82,9.12,0,0,0.89,0,4.24,2.18,0,1.96,10.03,0,0,0,0,0
 24-34,0,0,0,14.69,0,0,2.85,0,1.86,0,0,0,0,0,0.68,10.3,0,0,0,2.94,0,0,0,12.57,52.72,0.69,0,0,0,83.85,10.05,0,1.57,37.6,0,0,6.76,0,0
 36-46,0,0,0,53.53,0,0,6.36,0,3.46,0,0,0,4.57,0,0,4.36,1.81,0,0,8.16,0.78,0,1.53,16.41,94.84,0.72,0,0,0,280.66,0.67,0,0,29.63,0,0,3.06,0,0
 48-58,0.58,0,0,19.97,0.41,0,14.96,0,16.2,1.76,2.45,0,0,0,0.39,2.31,0,0,0,23.71,2.3,0,1.2,30.33,79.81,0,0,0,0,236.14,6.27,0,0,70.94,0,0,6.91,0,0.55
 60-70,0,0,0,75.54,0,0,25.24,0,57.74,0,5.27,0,0,0,0.65,4.57,0,0,0,19.47,0.57,0.64,5.38,27.1,76.57,1.19,0,0,0,487.79,3.48,0,0,47.6,0,2.09,2.29,0,0
 72-82,0,0,0,28.32,1.86,0,8.02,2.62,9.23,0.51,2.9,2.25,0,0.53,0,3.8,0,0,0,75.07,3.08,6.53,5.98,39.45,30.66,8.23,0,0,2.75,407.92,1.71,0,0,45.25,2.31,1.26,2.81,0,0
 84-94,0,0,0,66.21,0,0.59,14.88,0,37.18,0,0.59,17.11,0,0,6.87,14.99,0,4.41,0,76.74,4.8,5.97,0.57,39.18,62.51,1.17,1.52,0,0,1092.59,11.05,0,0,51.46,0.57,1.95,5.8,0.68,3.89
 96-106,0,0,0,98.41,29.49,0.97,29.56,0,27.58,8.48,5.01,12.18,0,1.93,7.56,20.42,0,5.9,0.69,72.52,4.03,7.49,3.97,46.1,43.55,0.75,0.87,0,16.92,859.12,2.52,6.18,0,11.1,5.35,5.16,4.78,3.8,11.41
108-118,0,0,0.74,128.42,3.14,5.55,43.81,0,50.01,0,10.21,24.31,0,0.86,0.61,25.84,1.33,0,0,138.99,6.18,6.21,2.06,38.91,77.84,2.03,1.56,0,1.49,1002.33,5.66,0,0,11.83,4.46,1.26,5.13,3.28,10.23
120,0,0,0,190.75,1.38,1.61,7.09,0,63.54,2.35,11.45,46.91,0,2.11,12.22,23.51,0,0,0,189.5,2.93,42.89,2.77,128.5,147.97,1.62,0,0,0,674.98,11.41,0,0,43.51,3.69,0,6.37,0,0
