stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,204.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,20.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,48.08,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.27,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,86.74,0,0,0,15.2,0,0,30.74,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0.92,0,0,0,0,0,0,0,30.51,0,0,0,0,4.87,0,4.33,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.06,0,0,0,0,0,0,0,0,51.82,0,0,0,0,11.51,0,21.6,0,0,0,0,0,0,0,0,1.28,2.23,0,1.87,0,0
 36-46,0,0,0,0,0.86,0,0,1.79,0,0,0,0.86,0,170.37,0,0,2.31,0,26.05,0,41.76,0.59,1.38,0,82.06,0,20.66,0,1.69,0,7.61,0,3.59,0,0
 48-58,0,0,0,0,0.69,0,2.81,2.43,0,0,0.68,0,0,178.56,0,0,0,0,4.1,38.79,114.35,0,0,0,0,0,0,0,0.59,0,1.45,0,0,0,0
 60-70,0,0,0,0,0,0,5.35,6.32,0.96,0,0,0,0,353.84,0,0,0,0,5.25,1.09,83.26,0,0,1.2,0,0,0,0,3.06,0,9.43,0,0,0,0
 72-82,0,0,0,0,23.58,0,0.76,10.67,5.79,0.71,4.63,0,0,44.52,0,0,0,0,9.25,0.99,27.62,0,0,0,0,0,0,0,0,0,1.52,0,0.62,4.01,0
 84-94,0,0,0,0,0,0,3.84,20.45,0,0,0,0,0.74,54.03,2.23,7.75,0,0,6.67,0.68,24.64,0,0,0,0,0,0,0,1.43,0,10.17,2.3,0,0,0
 96-106,0,0,0.99,0,26.62,6.68,27.92,12.4,0,0,9.6,0.67,0,429.4,0.56,0,0,10.79,1.21,0,24.13,0,0,0,0,4.2,0,0,0,0,0,0,3.06,0,0
108-118,0,0,0,0,10.45,4.99,1.87,18.6,0,0,0.62,0.45,0,399.45,0,0,7.3,1.39,2.91,0,28.47,0,0,0.74,0,0,0,0,0,0,1.27,0,0,0,1.47
120,0,0,0,0,56.52,0,3.38,18.93,0,0,0,10.73,0,280.74,0,0,0,0,9.58,11.96,14.74,0,0,0,0,4.27,0,0,0,0,2.5,0,0,0,0
