stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.11,341.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.95,147.03,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.64,7.86,0,3.51,0,0,12.51,0,0,0,0,0,13.21,0,0,0,0,0,0,0,0,0,0,0,99.46,18.07,0,0,52.86,0,3.29,13.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.89,0,6.59,15.41,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,3.87,477.8,25.01,0,0,169.04,0,0,7.97,15.82,14.84,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,0,7.62,0.85,2.91,0,0,0,1.77,0,0,0,0,0,0,0,0,0,2.68,0,0,3.01,94.37,1.92,0,0.9,3.82,0,0,0,20.88,0,0,11.13,21.17,0,0,1.21,0,0
 24-34,0,0,0.81,1.44,3.61,0,16.08,0,1.25,1.02,1.52,1.01,0,0,0.71,2.67,0,0,0,0,9.91,6.96,0,7.52,405.44,0.77,7.26,0,0,0,4.96,0,0,0,0.82,3.54,67.39,0,0,4.55,0,0
 36-46,0,0,0,0,1.44,1.13,62.03,0.68,6.93,0,25.59,0,0,2.44,0,0,0,0,0,0,25.61,0,0,3.93,612.95,0.72,0,2.16,0,0,9.62,0,0,0.75,0,0,105.51,0,0.62,5.84,0,0
 48-58,0,0,0,0,3.03,0.84,66.43,0.53,0,0.46,27.36,0,0,0.67,0.73,0,0,0.38,0,0.48,34.49,0,0,2.95,384.85,0.38,0,1.43,0,0.61,0,0,0,0.74,3.46,0,78.65,0,0,1.1,0,4.4
 60-70,0,0,0,0,5.72,0.6,155.08,0,2.75,1.31,51.53,0,0,0.76,0.57,0,0,1.92,0,0,62.88,2.4,0,3.15,395.94,0,3.19,2.75,0,0,4.24,0,0,0,0,0,66.44,0,1,4.03,0,9.15
 72-82,0,0,0.97,0,4.13,4.96,92.25,0,1.39,4.68,29.26,0.93,0,0,0.54,0.53,1.76,0.99,0,0,74.95,0,3.96,4.53,355.53,0,5.18,2.04,0,1.77,4.48,0,0,0,0,0,25.86,0,1.36,8.08,3.43,6.32
 84-94,0,0,1.11,0,8.39,32.17,108.8,0.69,0.9,4.8,37.13,0.96,0,0,0.56,2.59,1.61,1.57,0,1.11,66,0,0.6,0,189.72,0,0,2.7,0,1.53,10.01,0,0,0,0,0,31.04,1.77,0,3.86,4.61,0.66
 96-106,0,0,0,0,6,1.23,115.52,1.98,0.73,2.45,32.34,2.52,0,0,3.26,1.64,0.91,2.81,10.79,0,73.88,0,3.07,6.14,187.34,0.79,2.72,7.3,0,0,24.06,0,0,0,0,0,16.26,1.94,2.07,12.23,5,0
108-118,0,0,1.49,0,4.16,1.72,93.98,0,1.36,2.37,34.36,2.94,0,0,1.98,2.45,0,0,1.48,2.61,86.78,3.35,0.69,3.6,218.95,1.15,5.26,4.18,0,0,9.63,0,0,1.31,0.41,0,14.87,0.9,1.04,13.35,4.38,0
120,0,0,4.66,0,12.41,3.05,69.75,0,1.31,0,28.37,1.23,0,4.26,6.21,0,0,0,0,0,98.27,1.65,0,7.97,266.92,0,4.27,1.74,0,0,10.29,0,0,0,0,0,17.32,1.94,0,0,0,0
