stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,2.71,0,0,0,0,2.24,0,0,4.11,1.92,0,0,0,1.18,0,0,0,17.02,77.88,57.28,0,0,0,0,0,0
 24-34,0,0,1.42,0,0,17.97,355.77,1.45,0,0,2.67,7.13,0,0,0.62,0,0,0,0,17.08,0,0,79.75,149.17,0.64,0,0,0,0,3.48,0,60.45,195.47,93.18,17.28,0,0,11.7,0,0.89
 36-46,0,0.56,5.64,0,0,13.6,814.94,0,0,2.24,1.49,2.47,0,0,11.26,2.31,1.15,7.2,0,11.79,0.95,0,58.08,201.58,1.83,1.06,0,0,0,18.16,1.63,36.55,225.53,8.3,8.58,0,0,3.11,0,4.61
 48-58,0,0,8.58,2.84,0,72.59,714.16,0,0,18.59,0,8.09,0,1.71,0,3.43,0.53,5.77,0,21.52,2.63,1.23,38.3,217.41,0,2.62,1.72,0,0,11.09,0,18.51,219.02,0,41.1,0,0,2.47,0,5.67
 60-70,0.86,0,12.46,4.76,0,73.83,316.61,1.96,2.04,12.94,0,0,0,9.92,0,0,1.28,4.62,0,14.9,1.46,0,33.58,157.63,0,0.58,0.62,0,0,4.25,0,10.24,120.58,0,22.22,0,3.4,0,0,15.96
 72-82,7.04,0,4.06,4.78,0,49.97,156.61,0,0.56,9.8,0.72,0,0,0,3.5,0,1.91,0,0,29.61,0,0.93,14.79,125.59,0,3.73,2.26,0,0,0.55,0,3.42,73.98,0,13.65,3.98,1.23,0,1.88,3.23
 84-94,0,0,7.72,4.38,0,63.65,210.01,0,7.11,12.63,1.21,1.3,2.41,0,9.84,0,1.34,2.54,0,47.49,0,0,10.6,123.83,0,0,3.57,0,0,16.84,0,8.07,122.77,0,0,0,4.99,6.84,1.78,0.7
 96-106,4.66,0,11.9,18.61,0,110.7,368.7,0,2.44,10.72,0,0,0,3.85,7.64,0,1.31,12.88,4.7,45.52,2.47,0,15.04,100.54,0.97,0,7.78,7.23,0,26.86,0,4.08,126.05,0,13.71,0,0.73,14.88,3.21,6.86
108-118,0.83,0,3.32,17.1,0,53.99,217.14,0,1.79,15.46,0,0,0,3.33,13.53,0,1.58,5.31,0,49.37,0,7.19,15.07,124.76,1.63,1.41,6.76,0,1.93,13.02,0,2.87,107.63,0,0,0,0,5.1,5.29,6.54
120,3.73,0,6,8.28,3.13,38.2,83.36,0,0,38.36,1.18,0,0,0,9.96,0,0,7.18,0,33.67,0,0,12.38,123.5,0,0,4.64,0,0,1.61,2.24,4.37,46.37,0,5.96,0,3.24,3.35,0,0
