stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,117.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.6,398.66,0,12.33,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,38.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.63,0,0,0,0,18.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.6,6.99,0,0,46.8,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.18,0,19.62,0,0,8.66,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,131.8,0,0,0,22.53,0,0,0,0,5.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.29,30.39,8.65,20.66,0,0.88,0,10.19,2.94,0,2.21,0,0,0,0,0,18.68,0,0,17.57,299,18.17,0,1.79,6.12,0,8.21,0.91,37.92,2.83,1.22,26.75,79.62,0,0,0,0,0
 24-34,0,0,0,0.83,10.04,0,41.85,0,0.78,0.64,8.96,1.4,0,0,0,0,0,0.7,0,33.06,0,0.81,13.24,517.98,0.9,12.21,4.87,0,0,5.52,0,0,1.48,0,2.52,84.54,0,0,9.68,0,6.82
 36-46,0,0,0,0,19.99,0,66.58,0,0,0,24.63,0,0,0.65,7.87,2.37,0,1.51,1.47,38.76,0,1.36,10.7,435.08,2.89,0.79,0.63,0,0,6.33,0,0,0,0,0,107.53,0,0,3.95,0,0.66
 48-58,0,0,0,0,11.05,0,122.9,0,0,1.83,26.32,0,0,0.77,0,0,0,0.5,4.19,43.77,0,3.05,9.3,274.13,1.28,1.2,6.65,0,0,2.52,0.65,0,0,0,0,72.72,0,0,3.17,0,0.53
 60-70,0,0,0,0,8.83,0,172.9,0.89,0,0,17.95,0.85,0,0,1.65,1.69,0,0,0,61.91,0,13.79,7.58,192.32,0.62,0.88,0,0,0,0.72,0,0,0.63,1.94,0,27.85,0,1.55,3.27,0,0
 72-82,0,0,0.56,0,5.27,0,97.01,0,1.03,1.53,39.48,1.15,0,4.76,0.59,0,0,0.79,0,63.05,0.5,5.16,9.22,167.72,0,3.42,0.51,0,0.84,5.74,0,0,0.73,0,0,9.98,0,1.26,5.13,0,0
 84-94,0,0,0.56,0,3.76,0.56,47.06,0,1.82,2.32,24.16,2.57,0,0,0,1.15,0,1.52,0,45.16,0,1.56,12.49,93.94,3.3,0,0.58,0,0,9.94,0,0,0,0,0,4.66,0.55,0,5.16,0,0
 96-106,0,0,0,0,2.15,1.54,28.18,0,0,1.54,14.92,0,0,0,1.83,0.58,0,0,0,31.15,0,1.68,5.41,85.26,0,0.73,0.74,0,1.54,12.35,0,0,0,0,0,11.53,5.45,0.93,6.91,0,0
108-118,0,0,0,0,10.3,0,27.98,0,0.66,0.6,13.34,1.8,0,0,0.95,0.65,1.65,0,0,33.18,0,1.55,9.58,91.03,1.52,1.61,0,0,0,7.89,0,0,0,0,0,6.29,0.81,1.3,9.63,0,0
120,0,0,0,1.28,5.62,0,18.98,0,0,1.85,7.44,0,0,0,0,0,1.59,0,0,49.84,1.63,0,4.35,182.25,2.89,0,0,0,0,2.3,0,0,0,0,0,4.03,0,2.41,10.34,5.15,0
