stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,23.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.19,0,0,0,0,0,0
 10-12,0,0,0,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,7.59,0,0,0,0,0,1.85,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,1.27,0,0,0,0,4.14,0,0,0
 36-46,0,0,0,1.3,0,0,0,0,0,0,0.57,1.78,0,0,15.79,0.95,0,0,5,0,3.52,0,0,0
 48-58,0,0.37,0,2.9,0,0,1,0,0,0,0,2.99,0,0,14.93,0,0,0,1.56,1.46,4.05,0,0,0
 60-70,0,0,0,6.2,0,0,5.16,0,0,0,0,2.66,0,0.88,26.54,0,0,0,0,0,4.59,0,0,0
 72-82,0,1.06,0,3.61,0,0,1,0,0.51,0,0,4.88,0.51,0,15.82,1.63,0.53,0,0,0,0,0,0,0
 84-94,0,0.71,0,20.93,0,0,0,0,0.65,0,0,4.79,0,0,11.57,0,0.64,0,1.4,0,0.94,1.6,0,2.6
 96-106,0,0,3.11,4.05,0,2.09,0,0,0,0.76,0,9.41,0,0,7.08,0,0,0,2.91,0,1.39,0,0,0
108-118,0,1.77,0,24.92,0.54,0,2.68,0,0,0,0,12.11,0,4.54,17.86,0,0,0,0.79,0,0,0,0.48,0
120,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0
