stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.28,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.04,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.84,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,18.55,0.97,0,6.07,0,0,0,0.85,0.92,0,0,0,0,0,0,0,1.85,0,0,0,122.23,0,0,6.24,0,0,21.26,1.87,1.89,46.39,0,0,0,0,0
 24-34,0,0,1.61,0,2.88,0,0,16.46,0,1.91,0,20.93,0,0,0,0,0,0,0.95,0,4.48,0,0,2.39,367.88,4.46,0,13.45,0,0,38.27,8.64,0,105.07,0,0,0,0,0
 36-46,0,0,0,0,2.92,0,0,44.03,0.76,2.52,0,20.53,0,0,0,0,0,1.17,1.62,0,3.63,0,0,0,311.16,1.28,0,11.2,0,0,34.84,2.57,0,81.08,0,0,8.96,0,0
 48-58,0,0,0,0,5.83,0,0,59.09,0.57,0,0,38.9,0,0.37,0,0,0,0,2.25,1.66,15.84,1.5,0.53,0.69,164.91,6.65,0,10.11,0,0,27.04,2.26,0,61.64,0,0,0,0,3.77
 60-70,0,0,0.57,0,1.33,0,0,124.35,1.58,0,1.32,85.11,0,0,0,0,0,2.49,3.77,0,25.7,0.63,0,2.02,116.23,14.61,0,6.74,0,0,36.55,0.76,0,34.39,0,0,0.72,0,0
 72-82,0,0,0,0,3.76,0,0.76,113.62,7.55,0,0,114.84,1.78,0,0,0.53,0,2.76,1.08,0,41.09,2.01,5.1,6.72,117.88,4.33,0.58,12.54,0,0.59,23.68,0,0,20.74,4.36,9.11,1.38,1.42,9.24
 84-94,0,0,0.98,0,2.51,0,0,83.62,0.75,0,0,102.29,5.05,0,0,1.42,0,10.9,10.06,0,45.37,4.1,0,0.94,86.29,15.41,0,15.54,0,0,58.07,4.53,0,15.86,4.27,1.62,2.17,2.13,0
 96-106,0,0,0,1.03,6.44,1.52,0,68.26,8.17,1.1,0,135.97,3.12,0,0.77,1.18,1.8,6.66,3.57,0,22.8,3.32,0.76,1.99,91.24,3.01,2.46,6.51,0,0,40.36,0,0,33.99,6.35,2.16,1.04,0.64,4.64
108-118,0,0,0,0,7.08,0,0,91.72,0,1.08,0,143,3.63,0,0,0.43,0,2.38,7.32,0,47.35,4.23,0,2.79,82.09,9.17,0,12.05,0,2.7,59.71,1.11,0,12.98,15.46,5.01,1.36,0,0
120,1.12,0,0,4.41,15.33,1.6,0,89.13,3.16,1.53,0,129.45,1.4,0,0,0,0,1.6,5.67,0,58.8,0,6.16,3.51,186.76,0,3.8,16.42,0,0,42.52,0,0,23.03,22.62,2.12,0,0,0
