stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.76,0,0,0,0,5.73,0,0,0,0,0
 14-21,1,1.3,0,0,0,0,0,0.86,0,0,0,0,0,0,0,2.01,9.88,6.62,0.95,0,0,0,0,0,17.15,254.77,233.04,2.42,0,0,0,0
 24-34,0,0,0,7.34,18.38,0.68,0.79,3.91,0,0,0,0,0,0,0,11.57,52.85,105.89,0,0,2.48,0,0,0,0,100.36,151.33,8.02,0,0,0,0
 36-46,0,13.01,0,14.19,34.95,0,0,1.44,0,0,0,0,0.65,0,0,27.6,52.19,31.14,0,2.51,0,14.18,0,0,2.1,96.79,3.96,5.47,0,0,0,0
 48-58,0,2.06,0.44,29.57,36.76,0,0,0.89,0,0,0.52,0,1.1,0,0,25.56,58.95,43.33,0,0,7.1,0,0,1.55,0,61.07,0,13.14,0,0,0,0
 60-70,0,0,0,28.98,54.62,0,0,0,0,0,0,0,0,0,0,20.64,33.45,33.76,0,0,4.23,0.81,0,2.37,0,38.32,0,10.62,0,2.17,0,8.01
 72-82,0,2.31,0,32.26,39.3,0,0,8.1,0,1.75,0,0,0,2.33,6.34,24.6,27.31,33.64,0,0,0,1.13,0,0,0,23.84,0,0,0,0,1.3,4.74
 84-94,0,0,2.93,49.89,42.73,0,0,4.22,0,0,0,0,0.69,0,0,36.21,45.31,14.93,0,0,2.45,0,0,4.64,0,35.19,0,3.89,0,0,2.46,0
 96-106,0,1.58,7.05,61.78,64.75,0,0,6.21,0,0,1.69,0.76,0,15.54,0,29.5,31.5,82.22,0,0,1.94,11.87,0,3.39,0,45.38,0,0,2.64,0.59,3.27,0
108-118,0,4.53,0,16.28,57.71,0,0,2.51,0,0.52,0,0,0.84,0,2.47,28.82,62.79,28.35,0,1.57,3.07,0,1.84,1.3,0,23.84,0,0,0,0,0,1.88
120,0,2,6.39,0,103.77,0,0,11.96,1.73,0,0,0,0,0,0,22.74,65.45,15.89,0,0,3,0,0,0,0,18.37,0,0,0,0,2.7,0
