stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,9.66,3.06,6.24,0,0,2.46,0,0.92,0,1.56,0,0,0.83,0,0,0,103.81,0.86,0,0,3.67,0.89,1.64,8.31,0,2.3,39.53,0,0,0,0
 24-34,4.53,0.89,50.39,0,0,6.45,0,0,0,0,0,1.6,23.54,0,0,5.41,395.31,0,0,3.23,0,15.92,0,0,0,2.1,72.33,0,0,3.96,0
 36-46,7.36,0,120.5,0,0,5.86,0,0,0,0,0,0,23.77,0,0,3.72,296.3,0.69,0,0,0,0.8,0,0,0,0,37.86,0,0,0,0
 48-58,0,1.97,155.08,0,0,10.54,0,0,2.32,0,0,0,25,0,0.45,6.83,161,0.66,0,6.14,0,0,0,0,0,0,17,0,0,5.21,0.38
 60-70,3.8,0,89.22,4.4,0,7.7,0,0,0.78,0,0,0,22.65,1.41,0,0,105.64,0,0,5.92,0,6.44,0,0,0.6,0,2.18,0,0.61,0,0
 72-82,1.11,0,26.47,0,0,3.87,0,0,0,0,0,0,6.25,0,0,0.72,48.96,0,1.41,0.49,0,1.04,0,0,0,0,0,0,0,1.09,0
 84-94,1.25,0,21.95,0,0,2.25,1.73,0,2.23,0,0,0,14.59,0,1.13,2.44,39.27,0,0,0,0,0,0,0,0,0,1.5,4.19,0,2.88,0
 96-106,1.24,0,9.41,0,0,7.55,0,0,0.66,0,0,0,6.24,1.61,0,0,11.71,0,0,0,0,0,0,0,0,0,0.58,0,0,2.07,0
108-118,0.43,1.5,10.57,0,1.25,2.59,0,0,0.63,0.81,0.87,0,7.08,0,0,1.74,35.35,0,0.42,1.13,0,3.95,0,0,0,0,0,0.44,0,6.77,0
120,1.39,0,90.55,0,0,22.09,0,0,4.27,0,0,0,8.1,0,2.35,0,81.55,1.1,0,0,0,0,0,0,0,0,0,0,0,2.72,0
