stage,epidermis,neural,periderm,presomitic.mesoderm
 14-21,0,0,0,0.87
 60-70,0,3.73,0,0
 72-82,1.84,0,2.46,0
 96-106,0,1.84,0,0
120,12.27,0,0,0
