stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,50.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.65,0,4.28,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.22,0,0,0,0,0,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.18,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,1.3,16.82,0,0,0,2.1,0,0,0.9,1.45,0,0,5.47,5.17,0,0,0,0,0
 24-34,0,0,0,1.54,7.49,0,0,7.96,0,0,0,4.42,0,0,0,11.41,0,0,0,1.6,6.88,0.86,0,10.29,540.93,0,18.39,0,0,0,1.22,0,0,0,0,0.97,120.93,0,0,1.67,0,0
 36-46,0,0,0.94,0,0,0,0,33.84,0,8.54,0,113.98,0,0,13.72,0,0,0,0,6.95,6.89,0,0,6.81,1124.69,0.73,26.92,0.8,0,0,1.83,0,0,0,0,0,301.21,0,0,9.74,0,4.99
 48-58,0,0,0,0,0.79,0,0,162.96,3.52,0,2.29,145.48,0,0,0.67,0,0,0,0,2.02,22.23,3.25,1.47,5.96,1134.8,0,17.1,3.15,0,0,3.69,0,0,0.53,2.93,0,290.26,0,0,0,0,6.84
 60-70,0,0,0,0,3.69,0,0,722.44,0,2.17,10.13,157.24,0,0,0,0,14.87,0,0,0,18.65,0,0,0,1824.32,0,16.91,0,0,0,12.68,0,0,0.58,0,0,360.57,0.61,1.84,1.26,0,13.75
 72-82,0,0,1.65,0,11.18,2.7,0,1482.68,0,1.13,6.59,158.14,4.97,0,5.23,0,0,0,0,13.44,28.3,1.59,10.48,1.6,1758.67,0,33.94,1.79,0,0,9.09,0,0,0,0,0,196.2,0,1.4,3.11,0,0.63
 84-94,0,0,0,0,6.85,9.86,0,913.22,0,0.77,0,151.1,1.01,0,0,0.72,2.35,0,0,6.29,37.52,2.13,0,4.61,1106.57,1.13,33.07,5.42,0,0,0.58,0,0,0,0,0,142.57,0,2.78,0.77,0,7.74
 96-106,0,0,0,0,7.6,9.86,0.8,1025.17,0,0.61,0.63,198.26,1.58,0,1.99,0,0,0,3.35,1.93,36.48,0,4.84,0,990.41,0.64,39.2,3.98,0,1.04,8.69,0,0,1.46,0,0,68.94,1.01,2.16,0,0,0
108-118,0,0,0,0,19.24,9.24,0,1038.55,4.79,0,2.12,243.67,0.61,0,0,0,5.4,0.69,1.74,12.67,14.29,0,5.54,0,1213.03,0.59,25.41,6.89,0,0.91,0.65,0,0,0,0,0,79.74,1.6,0,1.16,0,7.51
120,0,0,0,0,23.93,0,0,940.81,12.08,1.19,0,495.96,12.52,0,1.01,2.21,0,0,18.25,13.7,16.84,0,0,1.83,3392.12,0,9.61,19.02,0,0,6.79,0,0,1.86,0,0,149.96,2.39,0,0,16.05,0
