stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,83.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.46,0,0,0,0,0,0,0
  5-6,35.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,57.26,0,0,0,12.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.73,0,0,0,0,0,0,0,0,0,0,0,0,0,111.26,0,0,0,18,0,0,0,11.29,0,0,0,0,0
 14-21,0,0,0.8,7.72,0.87,0,2.78,0,0,0,0,0,0,4.37,0,1.71,13.89,0,0,0,0,0,0,0.87,0.82,1.08,10.88,0,2.17,0
 24-34,0,0,0,8.09,6.78,0,0.68,0,0,0.73,0,0,0,15.44,0,4.71,66.42,0,0,0.64,0,0,0.67,0,0,0,15.74,0,0,0
 36-46,0,0,0,1.89,65.71,0,0.68,0,0,0,0,0.7,0,8.99,0,2.48,55.25,0,0,0,0,0,0,0,0,0,11.49,0,0,0
 48-58,0,0,0,2.57,205.63,0,6.34,0,0,0,0,0,0,5.61,0,1.16,24.25,0,1.15,0.82,0,0,2.03,0,0.43,0,3,0,0,0
 60-70,0,0,0,0,319.95,0.93,1.61,0,0,0,0,1.2,0,15.51,0,0,19.07,0,0,0,0,0,1.1,0,0,0,2.41,0,0,0
 72-82,0,0,0,2.38,283.9,0.74,6.94,0,0.51,0,0,0.61,0,9.18,3.75,0,25.67,0,0,0.97,0,0,0,0,0,0,0,0,1.48,0
 84-94,0,1.48,0,3.57,207.96,0,4.54,0,0,0,0,0,0,12.21,11,0.68,9.54,0.91,0,0,0,0,2.54,0,0,0,0,0,0,2.4
 96-106,0,0,0,1.88,175.5,0,10.26,0.67,0,0,0.74,0,7.1,12.15,0,2.92,25.81,0,0,0,0,0.79,2.54,0,0.61,0,0,0,0.56,3.81
108-118,0,0,0,9.75,134.08,1.19,7.85,0.74,1.09,0,0,1.38,0,11.34,0,6.5,11.43,0,0,1.76,0,0,1.62,0,0,0,0,2.74,0,0
120,0,0,0,4.83,130.17,0,0,1.21,0,0,0,0,0,2.43,0,0,6.51,0,0,2,0,0,7.59,0,0,0,0,0,0,0
