stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,86.73,554.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.22,0,0,0,0,0,0,0,0
  5-6,34.29,325.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.75,0,0,0,12.04,0,14.23,4.77,0,0,0,0,0,0,0
 10-12,0,0,0,7.42,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,108.3,0,0,0,29.06,0,47.27,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15.14,4.76,0,0,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,13.5,1.09,0,0,0,0,38.02,0,45.09,1.9,5.92,0,0,0,0
 24-34,0,0,0,0,1.36,1.31,10.87,0,0,0,0,0,0,1.39,0,0,0,0,0.77,0,0,0.61,30.54,0,0.75,1.32,0,0,27.18,0,35.71,0,3.28,0,0,4.79,0
 36-46,0,0,0,0.56,0,0,19.08,0,0,0,0,0,0,0,0,0.65,0,0,1.62,0,0,0,71.68,0,0,0.61,0,0,10.73,0,21.25,0,9.23,0,0,0.65,5.07
 48-58,0,0,0,0,0.53,1.42,44.1,0,3.39,0,0,0,0,2.14,0,0,0,4.77,3,0,0,0.46,143.57,0,0,0,0,0,11.71,0,11.51,0,18.84,0,0,8.17,0.49
 60-70,0,0,0,0,10.85,0,220.21,0.58,6.83,3.44,0,0,0.98,1.15,2.33,1.55,0,0,3.4,0,13.35,0,191.68,0,0,0,0,1.13,22.23,0,16.04,0,18.19,0.81,0,1.81,0
 72-82,0,0,1.62,0,1.12,2.06,182.4,0,3.52,5.75,0,0.88,1.37,0,0,0,2.98,0,4.06,0.58,2.79,0,150.85,0,1.63,1.26,0,0,5.08,0,45.05,0,11.56,0,0.87,10.56,0
 84-94,0,0,0,0,11.02,7.13,109.33,0,12.71,7.33,0,0,1.29,3.09,2,0,0,0,3.89,0,0,0,99.95,0,0,0.6,0,0,31.16,0,106.48,0,9.96,0,0,5.88,0
 96-106,0,0,1.57,0,2.07,10.45,80.12,0,2.17,4.91,0,0,5.93,3.94,3.41,0,10.03,0,6.74,0,0,0.92,81.76,0,0,2.51,0,0,12.74,0,115.7,0,6.82,0,0,1.25,0
108-118,0,0,1.39,0,5.53,10.1,83.64,0,8.34,14.73,0,0,8.12,6.3,1.77,0,4.28,0,10.46,0,3.75,0,64.19,0,2.07,1.23,0,0,7.17,0,138.55,0,0,0,0,4.89,0
120,0,0,0,0,39.25,15.27,64.58,0,11.58,10.42,0,0,1.6,10.02,10.87,0,13.6,0,6.23,0,0,1.53,143.26,0,0,10.42,0,0,16.5,0,93.39,0,0,1.84,0,5.94,0
