stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0,0,0,0,0,0
 14-21,0,2.21,1.92,11.42,0.91,0,26.82,0,0,8.15,0,3.34,3.32,0,8.54,0,0,0,0,3.77,0,0,3.28,186.08,1.59,1.37,0,0,3.36,0.87,1.41,1.86,47.9,0,0,0,0,0
 24-34,0,1.52,0,24.37,0,0,27.03,0.71,0.95,14.98,0,0,0,0,2.78,0,0,0,0,6.62,0.68,0,1.3,639.6,0,3.55,0,0,7.94,0,0,0.99,121.49,0,0,1.49,0,0
 36-46,0,0.95,0,12.66,0,0,48.06,0,0,27.24,0,0,0.88,0,1.84,0,0.79,0,0,17.54,1.26,0,0,1185.16,0,0.56,0,0,10.37,0,2,0,151.82,0,0,2.75,0,0
 48-58,0,0,0,14.67,0.59,0,168.81,0,0,33.48,0,0,0.66,0.68,0.76,0,0,0,0,9.69,1.52,0.42,4.73,2200.96,0,0,0,0,7.41,0,0,0,198.15,0,0,7.22,0,0.63
 60-70,0,0.91,0,22.36,0,0,381.63,0,8.38,47.29,0,0,0.9,0,1.69,0,0,0,0,21.83,3.12,0.87,2.34,2690.5,1.73,0,0.63,1.08,9.43,0,0,0,410.72,0,0,10.07,1.13,0
 72-82,0,0.83,0.75,24.07,0,0,705.12,0.5,0.94,110.34,1.12,0,0.53,0.55,1.81,0,0.88,3.06,0,25.39,1.5,0,2.81,4098.54,0,0.75,1.46,0,6.35,0,0,0,270.46,0.78,0,15.91,5.69,0
 84-94,0.62,1.56,0,56.58,1.18,0,454.59,14.23,0.67,92.65,0,0,0,0,2.42,0.55,3.19,0,10.44,27.05,0,2.56,5.49,2825.57,1.29,0,0.72,4.83,32.58,0,0,0,249.12,2.75,0.84,22.19,4.75,0
 96-106,0,1.6,0.71,41.9,4.79,0,493.29,9.46,0,141.59,2.29,0,4.1,2.25,0,0,3.3,18.66,0,46.6,7.17,1.7,1.66,2375.83,0,1.7,0,4.1,11.9,0,0,0,99.93,0,1.26,12.78,7.8,0
108-118,0,0.41,0,78.74,0,0,352.81,8.2,0,133.11,3.16,0,0.83,0.54,1.35,0,0,0.56,0,27.31,1.79,2.47,0,2471.54,0,1.07,1.11,1.14,4.68,0,0,0,64.52,0.58,0,13.88,6.11,0
120,0,15.66,1.28,81.02,0,14.01,343.57,12.05,0,151.93,2.68,0,0,2.44,0,0,0,0,0,55.14,0,0,12.65,2726.44,0,2,0,0,6.18,0,2.12,0,51.98,1.39,0,5.94,2.7,0
