stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,mucous,muscle,neural,olfactory,periderm,presomitic.mesoderm,somites,taste,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,1.67,0,0,0,1.03,5.93,0,0,0
 24-34,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.72,0,0,0,0.89,0,0,0,0,0,0,0
 60-70,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0
 72-82,0.73,6.61,0,0,0,0,0,0,0,0,0.91,0,0,0,0,2.18,0
 84-94,3.42,5.41,0,0,0.59,0,0,0,0,0,0,1.85,0,0,0,0,0
 96-106,14.51,32.71,0,1.71,0.57,0,1.9,1.26,0,1.87,0,4.22,0,0,0,1.58,0
108-118,8.48,30.61,1.02,0.73,2.26,0,0,0,0,1.56,0,1.91,0,0,0,0,0.57
120,12.85,0,0,0,0,0,0,0,0,0,11.95,0,0,0,0,0,0
