stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,16.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,4.73,0,0,3.58,0,0,0,0,0,0,0,0
 14-21,0,0.89,0,55.25,0,0,0,0,1.38,0,26.76,0,0,0,3.69,0,14.53,0,3.3,16.38,0,0,0,0,0,0,4.04,1.87,0,0,69.72,0
 24-34,0,2.41,2.44,69.12,0,2.9,0,0,0,0,186.68,7.19,0,0,4.19,0,30.87,0,3.92,49.55,1.98,0,0,0,0,0,1.12,2.93,0,0,800.64,0
 36-46,0,0,7.69,52.77,0,26.15,4.15,0,1.29,0,35.75,16.99,0,0,3.55,0,16.71,0,0,46.87,0,0,0,0,0,1.45,0,5.27,0,0,198.98,0
 48-58,0,0,0,153.07,0,3.69,0,0,2.04,0.43,14.22,36.67,0,0,6.78,6.02,7.96,0.59,0.57,30.44,0.54,0,0,0,1.59,7.3,0,13.68,0,0,55.52,0
 60-70,0,0,5.63,245.3,0,28.51,0,0,0.9,2.7,5.61,64.93,0.71,0,2.22,0,8.39,0,0,34.97,2.43,0,0,0,0,7.11,0,14.71,0,0,4.05,0
 72-82,0,0,2.62,1468.21,0,33.4,1.43,0,6.91,3.85,5.49,69.18,0,0,10.53,3.59,13.6,19.78,0,58.83,4.32,0.79,0,0,2.01,0,0,1.01,0,0,19.67,0
 84-94,0,0,2.36,1186.61,0,17.85,0,0,6.61,25.04,3.87,102.9,0,0,12.19,0,14.09,11.65,0.78,21.36,8.4,2.46,0,0,0,2.06,0,1.8,0,0,10.18,1.97
 96-106,0,0,0,1366.62,0,18.5,0,2.37,9.07,19.54,6.68,87.89,0,1.66,15.65,1.03,11.67,3.7,0.71,53.61,14.77,0,0,0,0,2.13,0,0,0,0.94,6.28,0
108-118,0,0,7.46,676.59,0,36.17,0.56,0,0,39.22,2.42,84.26,1.57,0.69,22.33,0,19.82,7,1.91,38.49,36.44,0,0,0,1.82,0,0,0,0.83,0,8.63,1.09
120,0,0,1.18,561.93,5.3,31.13,0,0,3.15,53.13,1.85,202.4,0,0,24.87,0,27.65,22.71,0,47.13,84.58,0,3.63,0,0,2.32,0,0,0,0,19.29,0
