stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.27,87.13,3.27,5.41,0,0,0,0,0.82,0,0,0,4.42,0,0,0.97,0,5.92,0.92,0,16.99,88.63,0,0,4,0.83,0,155.75,0,3.89,0.84,172.16,82,120.26,0,0,0,0,0
 24-34,0,1.57,64.57,0.62,24.33,30.1,0,0,5.44,0,0,13.48,3.83,25.46,0,32.05,1.4,0,39.86,0,0,26.81,621.75,5.32,8.97,6.52,0,4.81,266.33,0,0,1.6,90.03,117.51,560.81,0,0,1.6,0,0.81
 36-46,0,0,28.25,0,50.37,74.98,3.76,0,7.72,0,0,0,0,20.43,0,39.04,6.34,0,45.88,0.7,0,32.61,984.61,0,5.55,3.11,0,0,341.32,0,0,0,77.47,23.35,732.01,0,0,6.92,0.78,0.67
 48-58,1.23,0,32.81,0,166.14,66.12,4.69,5.73,42.86,0,0,3.52,0,3.2,3.8,34.86,15.47,0.62,120.65,0,2.84,28.24,1203.53,0,4.41,5.19,0,0,174.03,0,0,0,47.8,0,398.51,0,1.23,1.36,0,0
 60-70,10.34,0,23.97,0,711.51,61.15,10.38,10.75,276.02,8.29,4.48,3.12,0,8.08,1.16,20.27,23.15,0,382.78,0.73,8.9,41.95,1395.3,0,2.66,9.72,0.81,0,153.61,0,0,3.92,24.84,0,281.56,2.13,9.36,0,1.66,6.29
 72-82,7.48,0,25.53,8.33,1288.04,29.07,4.39,28.9,595.44,43.3,0,0,0,6.08,9.11,34.46,10.63,0.65,819.24,0.92,16.56,51.46,2423.98,0,0.75,21.16,1.13,11.88,128.08,0,0,0,20.57,0,262.52,0.52,56.55,7.73,6.13,7.9
 84-94,3.11,0,41.68,17.25,964.5,23,1.28,23.21,501.23,34.2,1.59,3.36,0,9.99,4.76,28.29,0,0,674.92,0.75,3.09,40.76,1481.05,0,2.4,31.08,0,3.94,293.35,0,0,7.37,18.41,0,260.54,11.89,34.74,2.38,18.36,0
 96-106,4.17,0,59.45,0.98,1381.76,27.13,6.34,25.9,724.99,128.48,0,5.03,0.77,11.27,0.77,52.88,31.26,0,855.23,11.9,3.24,33.62,1427.3,0.87,16.66,44.72,0,29.7,294.57,7.5,0,0.89,23.53,0,105.05,1.96,8.55,7.41,4.05,7.66
108-118,3.52,0.59,54.9,1.75,1262.5,37.47,3.18,14.79,689.09,128.62,0,0,0.54,12.57,5.82,30.74,7.05,1.38,788.05,5.41,24.94,54.97,1652.03,0,8.86,52.08,0,25.1,225.2,0,0,1.43,17.92,0,91.89,7.45,30.44,3.05,2.7,1.12
120,2.65,0,115.79,0,1416.41,16.37,13.95,34.52,505.98,88.73,0,0,11.68,18.55,4.23,15.92,0,0,778.21,5.8,63.49,80.7,2272.1,0,11.87,46.91,0,64.64,157.94,0,0,5.44,2.72,0,161.52,6.15,14.11,3.98,0,0
