stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.13,1.07,1.65,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,108.16,0,0,0,0,0,0,10.94,0,0,0,0,0
 24-34,0,3.33,0,0.65,0,20.89,0,0,0,0,0,0.89,2.06,0,0,0,0.66,7.38,1.26,0,0,226.26,0.63,0,0,0,0,0,18.04,0,0,0,0,39.91
 36-46,0,4.04,0,0.76,0,55.59,0,2.79,0,0,0,0,11.76,0,1.81,0,0,27.94,0.58,0,0,623.22,5.58,0,0,0,0,2.75,35.82,0,0,0,0,272.61
 48-58,0,3.61,0,0.66,2.22,138.7,0,0,0,17.43,4.06,0,0.47,0,43.62,0.77,0,53.49,7.3,0,3.8,886.97,3.08,0,0,8.37,0,0,77.04,0,0,0,0,364.05
 60-70,0,0,0,0,4.4,300.31,0,0,0.73,7.51,0,0,3.75,0,134.23,0,2.59,21.88,24.49,6.11,0,1249.15,2.06,0,2.16,9.21,0,0,146.65,0,0,0,0,254.68
 72-82,0,3.07,0,9.16,2.08,401.97,0,0,0,19.95,0,0,0.72,0,162.14,0,2.53,31.24,9.88,0,0,1491.73,0,1.04,0,2.54,0,0,96.62,2.12,0,0,0,278.89
 84-94,0,1.15,0,9.92,0,329.82,0,10.84,0,14.37,0,0,0.77,0.69,68.12,0,1.61,102.73,16.02,0,0,1075.85,0,0,0,4.48,0,0,53.65,0,0,0,2.93,146.66
 96-106,0,5.62,0,21.34,5.85,210.38,1.64,0,0,18.78,0,0,6.73,0,33.11,0.95,10.79,74.29,4.7,2.34,0,1130.25,2.18,5.08,0,6.92,0.73,0,26.94,0,1.16,0,0,152.99
108-118,0,5.22,0,12.8,1.54,222.38,0,0,1.71,17.62,3.75,0.61,6.96,0,54.06,0,0,126,8.87,0,0,1136.23,4.73,0,0,2,0,0,25.91,3.36,0,0.99,0,103.5
120,0,0,0,25.42,3.62,395.58,7.84,0,0,22,0,0,4.25,0,23.06,0,0,46.72,45.15,15.43,0,2113.33,2,6.31,0,0,0,0,30.6,0,0,0,0,39.23
