stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.44,250.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.77,0,0,0,3.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,44.29,0,0,0,0,0,0,1.06,0.89,31.03,0,0,0,0,0
 24-34,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,1.71,222.82,0,5.62,0,0,0,0.92,0,0,64.48,0,0,1.58,0,0
 36-46,0,0,0,0,0,8.05,0,0,2.82,0,0,0,0,0,0,7.27,0,0.7,870.68,0,14.75,0,0,0,2.52,0,0,158.59,0,0,4.66,0,0
 48-58,0,0,9.3,0,0,49.45,0.66,0,12.49,0,0,0,0,0,0,3.69,2.75,0,804.37,0,9.28,0.43,0,0,0,0,0,162.4,0,0,0.42,0,0
 60-70,0,0,3.4,0,0,221.91,3.43,0.93,10.71,0,0,0,0,1.04,9.72,2.09,0,0,1029.04,1.29,5.7,0,0,1.68,3.11,0,0,216.3,0,1.93,0,0,0
 72-82,0,0,4.57,0.67,0,246.7,0,0,22.29,0,0,0,0,0,0,3.66,0,1.33,893.99,0,13.92,0.49,0,0,0.54,0,0,77.96,0,0,0.5,0.99,6.76
 84-94,0,0,2.72,0,0,189.54,0,0,30.7,0.73,0,0,0,0,0,9.29,0,0,789.06,0,2.87,0,0,0,0,0,0,109.19,0,0.63,11.93,0.64,0
 96-106,0,0,0.88,9.85,0,205.56,0,0,30.02,0.61,0.73,0.64,10.79,0.58,0,5.07,0.56,0.62,527.3,0,9.86,0,0,0,1.36,0,0,28.15,0,0,0,0.87,0
108-118,0,0,7.75,0,0,193.93,0,0,43.04,0,0,0,0.82,0,0.6,10.56,0.83,0.53,812.09,0,2.54,6.88,0,0,3.33,0,0,35.16,0.68,0,0,0,0
120,0,0,9.48,1.56,1.23,151.94,0,0,52.11,0,2.3,0,0,0,0,28.03,0,0,1256.82,0,0,0,0,0,0,0,0,20.98,12.35,0,0,0,0
