stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,37.5,288.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,518.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,0,0,7.36,0,0,0,0,0,0
  7-9,18.48,8.8,0,5.73,0,0,26.37,0,0,0,0,0,0,0,0,0,0,260.25,3.24,0,0,82.69,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.47,0,0,17.5,0,0,0,0,0,0,0,0,0,0,215.7,0,0,0,15.81,0,0,0,0,6.54,0,0,0
 14-21,0,0,0,0,3.7,1.17,6.68,0,0,0,0,0,0,1.65,2.99,0,2.29,47.1,4.61,0,0,0.9,0,0,9.96,0,6.54,12.47,1.68,0
 24-34,0,0,0,0,0.74,0,5.51,2.69,0,2.63,0,0,0.69,0,5.66,0,2.03,106.9,0,0.68,0.61,0,0,0.67,0,0,2.13,29.05,1.31,0
 36-46,0,0,0,0,0,0,6.28,3.45,0,0,0,0,0,0,4.24,0,2.94,67.5,0,4.72,1.05,0,0,1.98,0,0,0,16.16,2.89,3.31
 48-58,0,0,0,0,0,0,28.79,13.25,0,0,0,0.49,0,0,13.03,0.43,1.5,58.76,0,0,2.13,0,0,0.9,0,0,0,9.12,0.64,0
 60-70,0,0,0,0,6.65,0,10.84,5.79,0,0,0,0,0,0,8.71,0,2.26,25.36,0,0,0,0,0,0.9,0,0,0,5.81,0,0
 72-82,0,0,0,0,4.41,0,13.86,2.48,0.49,0,0,0,0.74,0,8.28,0,1.06,27.14,9.68,0,0.61,0,0,2.16,0,0.76,0,3.66,0,0
 84-94,0,0,1.29,0,0.6,0,7.35,5.39,0.63,0,0.58,0,0,0,6.26,0,0,10.06,0,0,0,0,0,0,0,0,0,0,5.54,0
 96-106,0,0,0,0,0.66,0,8.21,5.73,0.86,0,0,0.63,0,0,1.12,0,1.03,4.51,1.41,0.68,0,0,0,2.58,0,0.67,0,0,1.25,0
108-118,0,0,0,0,3.42,0,8.85,9.42,0,0,0,0,0,0,0.59,0,0.94,22.37,0,0.46,0,0,4.16,1.63,0,0,0,0,0,0
120,0,0,0,0,2.14,0,13.23,16.25,0,0,0,0,0,0,1.69,0,0,32.64,0,0,0,0,0,1.14,0,0,0,0,6.84,0
